scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,724,524176,8,65884,BJ,0,4,1,462,7.77661e-09,1.11831,211946
weak,724,524176,8,65884,AS1,1,4,1,454,9.39962e-09,1.29556,211946
weak,724,524176,8,65884,AS2,2,4,1,449,8.97536e-09,1.30499,211946
weak,724,524176,8,65884,BJ,0,4,2,462,7.77661e-09,1.12721,211946
weak,724,524176,8,65884,AS1,1,4,2,454,9.39962e-09,1.29918,211946
weak,724,524176,8,65884,AS2,2,4,2,449,8.97536e-09,1.30451,211946
weak,724,524176,8,65884,BJ,0,4,3,462,7.77661e-09,1.12773,211946
weak,724,524176,8,65884,AS1,1,4,3,454,9.39962e-09,1.29809,211946
weak,724,524176,8,65884,AS2,2,4,3,449,8.97536e-09,1.304,211946
weak,724,524176,8,65884,BJ,0,4,4,462,7.77661e-09,1.1218,211946
weak,724,524176,8,65884,AS1,1,4,4,454,9.39962e-09,1.29711,211946
weak,724,524176,8,65884,AS2,2,4,4,449,8.97536e-09,1.3056,211946
weak,724,524176,8,65884,BJ,0,4,5,462,7.77661e-09,1.11927,211946
weak,724,524176,8,65884,AS1,1,4,5,454,9.39962e-09,1.29673,211946
weak,724,524176,8,65884,AS2,2,4,5,449,8.97536e-09,1.30689,211946
