scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,2048,4194304,64,65536,BJ,0,4,1,1147,8.75946e-09,4.0623,211496
weak,2048,4194304,64,65536,AS1,1,4,1,1083,9.25241e-09,5.74989,211496
weak,2048,4194304,64,65536,AS2,2,4,1,1103,9.39658e-09,6.10333,211496
weak,2048,4194304,64,65536,BJ,0,4,2,1147,8.75946e-09,4.04889,211496
weak,2048,4194304,64,65536,AS1,1,4,2,1083,9.25241e-09,5.67365,211496
weak,2048,4194304,64,65536,AS2,2,4,2,1103,9.39658e-09,6.12153,211496
weak,2048,4194304,64,65536,BJ,0,4,3,1147,8.75946e-09,4.05208,211496
weak,2048,4194304,64,65536,AS1,1,4,3,1083,9.25241e-09,5.68182,211496
weak,2048,4194304,64,65536,AS2,2,4,3,1103,9.39658e-09,6.09399,211496
weak,2048,4194304,64,65536,BJ,0,4,4,1147,8.75946e-09,4.07312,211496
weak,2048,4194304,64,65536,AS1,1,4,4,1083,9.25241e-09,5.69288,211496
weak,2048,4194304,64,65536,AS2,2,4,4,1103,9.39658e-09,6.07494,211496
weak,2048,4194304,64,65536,BJ,0,4,5,1147,8.75946e-09,4.07066,211496
weak,2048,4194304,64,65536,AS1,1,4,5,1083,9.25241e-09,5.68087,211496
weak,2048,4194304,64,65536,AS2,2,4,5,1103,9.39658e-09,6.07903,211496
