scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,512,262144,4,65536,BJ,0,4,1,299,9.16747e-09,0.713299,0.0445528,0.00115999,0.597416,0.00403019,0.0310106,216356
strong,512,262144,4,65536,AS1,1,4,1,288,8.47553e-09,0.808537,0.0727686,0.00113528,0.665621,0.00427927,0.0302619,216356
strong,512,262144,4,65536,AS2,2,4,1,292,8.75927e-09,0.829684,0.0715748,0.00108057,0.684962,0.00658235,0.0304843,216356
strong,512,262144,4,65536,BJ,0,4,2,299,9.16747e-09,0.715153,0.0492671,0.00310148,0.595952,0.00448673,0.0290022,216356
strong,512,262144,4,65536,AS1,1,4,2,288,8.47553e-09,0.806405,0.0712208,0.00329497,0.666097,0.00632862,0.027618,216356
strong,512,262144,4,65536,AS2,2,4,2,292,8.75927e-09,0.829965,0.0753232,0.00690228,0.687104,0.00417156,0.0278683,216356
strong,512,262144,4,65536,BJ,0,4,3,299,9.16747e-09,0.714694,0.0460865,0.00101619,0.597345,0.00377024,0.0312438,216356
strong,512,262144,4,65536,AS1,1,4,3,288,8.47553e-09,0.806652,0.0716697,0.00112621,0.66558,0.00422026,0.0294861,216356
strong,512,262144,4,65536,AS2,2,4,3,292,8.75927e-09,0.828656,0.0708233,0.001946,0.687466,0.00472607,0.029635,216356
strong,512,262144,4,65536,BJ,0,4,4,299,9.16747e-09,0.714288,0.0459208,0.00100653,0.59738,0.00347123,0.0312524,216356
strong,512,262144,4,65536,AS1,1,4,4,288,8.47553e-09,0.807393,0.0717653,0.00249028,0.665687,0.00343845,0.0309212,216356
strong,512,262144,4,65536,AS2,2,4,4,292,8.75927e-09,0.829396,0.070089,0.00115526,0.686022,0.00696129,0.0301539,216356
strong,512,262144,4,65536,BJ,0,4,5,299,9.16747e-09,0.714647,0.0455528,0.00108543,0.5979,0.00412096,0.0307853,216356
strong,512,262144,4,65536,AS1,1,4,5,288,8.47553e-09,0.806412,0.071546,0.0011201,0.665736,0.0032556,0.0300369,216356
strong,512,262144,4,65536,AS2,2,4,5,292,8.75927e-09,0.827149,0.0702343,0.00287736,0.686204,0.00699141,0.028104,216356
