scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,mean_relative_residual,mean_runtime,std_runtime,min_runtime,max_runtime,job_id
strong,512,262144,2,131072,AS1,1,4,5,310,8.5658e-09,2.47047,0.0478277,2.40109,2.53498,211484
strong,512,262144,2,131072,AS2,2,4,5,322,7.74869e-09,2.56168,0.0584843,2.50056,2.65064,211484
strong,512,262144,2,131072,BJ,0,4,5,335,7.05933e-09,2.27555,0.0448034,2.23046,2.34622,211484
strong,1024,1048576,2,524288,AS1,1,4,5,618,7.69727e-09,19.721,0.0816552,19.6242,19.834,211484
strong,1024,1048576,2,524288,AS2,2,4,5,583,9.14869e-09,18.5028,0.1864,18.2054,18.728,211484
strong,1024,1048576,2,524288,BJ,0,4,5,628,8.39677e-09,17.1221,0.089993,17.0314,17.2918,211484
strong,2048,4194304,2,2097152,AS1,1,4,5,1150,9.92848e-09,153.177,0.352363,152.631,153.692,211484
strong,2048,4194304,2,2097152,AS2,2,4,5,1112,9.81766e-09,147.874,0.70632,146.539,148.5,211484
strong,2048,4194304,2,2097152,BJ,0,4,5,1215,9.36541e-09,139.717,0.150749,139.514,139.916,211484
