scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,mean_relative_residual,mean_runtime,std_runtime,min_runtime,max_runtime,job_id
weak,1024,1048576,16,65536,AS1,1,4,5,556,9.88594e-09,1.64925,0.00571253,1.64346,1.66014,211947
weak,1024,1048576,16,65536,AS2,2,4,5,551,9.87306e-09,1.67607,0.00247801,1.67338,1.67935,211947
weak,1024,1048576,16,65536,BJ,0,4,5,571,9.18973e-09,1.40372,0.00620075,1.39306,1.4121,211947
