scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,512,262144,4,65536,BJ,0,4,1,299,9.16747e-09,0.71757,211945
weak,512,262144,4,65536,AS1,1,4,1,288,8.47553e-09,0.804804,211945
weak,512,262144,4,65536,AS2,2,4,1,292,8.75927e-09,0.826202,211945
weak,512,262144,4,65536,BJ,0,4,2,299,9.16747e-09,0.717415,211945
weak,512,262144,4,65536,AS1,1,4,2,288,8.47553e-09,0.804496,211945
weak,512,262144,4,65536,AS2,2,4,2,292,8.75927e-09,0.829215,211945
weak,512,262144,4,65536,BJ,0,4,3,299,9.16747e-09,0.718984,211945
weak,512,262144,4,65536,AS1,1,4,3,288,8.47553e-09,0.806305,211945
weak,512,262144,4,65536,AS2,2,4,3,292,8.75927e-09,0.827312,211945
weak,512,262144,4,65536,BJ,0,4,4,299,9.16747e-09,0.723712,211945
weak,512,262144,4,65536,AS1,1,4,4,288,8.47553e-09,0.806444,211945
weak,512,262144,4,65536,AS2,2,4,4,292,8.75927e-09,0.826496,211945
weak,512,262144,4,65536,BJ,0,4,5,299,9.16747e-09,0.718801,211945
weak,512,262144,4,65536,AS1,1,4,5,288,8.47553e-09,0.805951,211945
weak,512,262144,4,65536,AS2,2,4,5,292,8.75927e-09,0.82799,211945
