scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
strong,512,262144,8,32768,BJ,0,4,1,289,9.81919e-09,0.349969,211485
strong,512,262144,8,32768,AS1,1,4,1,281,9.59095e-09,0.370073,211485
strong,512,262144,8,32768,AS2,2,4,1,281,9.7634e-09,0.381799,211485
strong,512,262144,8,32768,BJ,0,4,2,289,9.81919e-09,0.35054,211485
strong,512,262144,8,32768,AS1,1,4,2,281,9.59095e-09,0.368934,211485
strong,512,262144,8,32768,AS2,2,4,2,281,9.7634e-09,0.381385,211485
strong,512,262144,8,32768,BJ,0,4,3,289,9.81919e-09,0.349186,211485
strong,512,262144,8,32768,AS1,1,4,3,281,9.59095e-09,0.369722,211485
strong,512,262144,8,32768,AS2,2,4,3,281,9.7634e-09,0.381871,211485
strong,512,262144,8,32768,BJ,0,4,4,289,9.81919e-09,0.350115,211485
strong,512,262144,8,32768,AS1,1,4,4,281,9.59095e-09,0.371185,211485
strong,512,262144,8,32768,AS2,2,4,4,281,9.7634e-09,0.380041,211485
strong,512,262144,8,32768,BJ,0,4,5,289,9.81919e-09,0.348858,211485
strong,512,262144,8,32768,AS1,1,4,5,281,9.59095e-09,0.369977,211485
strong,512,262144,8,32768,AS2,2,4,5,281,9.7634e-09,0.381391,211485
strong,1024,1048576,8,131072,BJ,0,4,1,579,8.96287e-09,2.81778,211485
strong,1024,1048576,8,131072,AS1,1,4,1,538,9.82574e-09,3.11098,211485
strong,1024,1048576,8,131072,AS2,2,4,1,572,9.5219e-09,3.35439,211485
strong,1024,1048576,8,131072,BJ,0,4,2,579,8.96287e-09,2.8163,211485
strong,1024,1048576,8,131072,AS1,1,4,2,538,9.82574e-09,3.11344,211485
strong,1024,1048576,8,131072,AS2,2,4,2,572,9.5219e-09,3.3576,211485
strong,1024,1048576,8,131072,BJ,0,4,3,579,8.96287e-09,2.82533,211485
strong,1024,1048576,8,131072,AS1,1,4,3,538,9.82574e-09,3.11013,211485
strong,1024,1048576,8,131072,AS2,2,4,3,572,9.5219e-09,3.35207,211485
strong,1024,1048576,8,131072,BJ,0,4,4,579,8.96287e-09,2.82023,211485
strong,1024,1048576,8,131072,AS1,1,4,4,538,9.82574e-09,3.11031,211485
strong,1024,1048576,8,131072,AS2,2,4,4,572,9.5219e-09,3.34961,211485
strong,1024,1048576,8,131072,BJ,0,4,5,579,8.96287e-09,2.81523,211485
strong,1024,1048576,8,131072,AS1,1,4,5,538,9.82574e-09,3.1098,211485
strong,1024,1048576,8,131072,AS2,2,4,5,572,9.5219e-09,3.35082,211485
strong,2048,4194304,8,524288,BJ,0,4,1,1110,8.89002e-09,23.8253,211485
strong,2048,4194304,8,524288,AS1,1,4,1,1066,9.93073e-09,27.8962,211485
strong,2048,4194304,8,524288,AS2,2,4,1,1106,9.51073e-09,29.1907,211485
strong,2048,4194304,8,524288,BJ,0,4,2,1110,8.89002e-09,23.7413,211485
strong,2048,4194304,8,524288,AS1,1,4,2,1066,9.93073e-09,27.9512,211485
strong,2048,4194304,8,524288,AS2,2,4,2,1106,9.51073e-09,29.1386,211485
strong,2048,4194304,8,524288,BJ,0,4,3,1110,8.89002e-09,23.7896,211485
strong,2048,4194304,8,524288,AS1,1,4,3,1066,9.93073e-09,27.9808,211485
strong,2048,4194304,8,524288,AS2,2,4,3,1106,9.51073e-09,29.1159,211485
strong,2048,4194304,8,524288,BJ,0,4,4,1110,8.89002e-09,23.7546,211485
strong,2048,4194304,8,524288,AS1,1,4,4,1066,9.93073e-09,28.0194,211485
strong,2048,4194304,8,524288,AS2,2,4,4,1106,9.51073e-09,29.1538,211485
strong,2048,4194304,8,524288,BJ,0,4,5,1110,8.89002e-09,23.7867,211485
strong,2048,4194304,8,524288,AS1,1,4,5,1066,9.93073e-09,27.8525,211485
strong,2048,4194304,8,524288,AS2,2,4,5,1106,9.51073e-09,29.293,211485
