scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,362,131044,2,65522,BJ,0,4,1,239,6.24353e-09,0.765275,211491
weak,362,131044,2,65522,AS1,1,4,1,226,8.66291e-09,0.936321,211491
weak,362,131044,2,65522,AS2,2,4,1,228,9.73973e-09,0.890547,211491
weak,362,131044,2,65522,BJ,0,4,2,239,6.24353e-09,0.794324,211491
weak,362,131044,2,65522,AS1,1,4,2,226,8.66291e-09,0.887593,211491
weak,362,131044,2,65522,AS2,2,4,2,228,9.73973e-09,0.89519,211491
weak,362,131044,2,65522,BJ,0,4,3,239,6.24353e-09,0.837028,211491
weak,362,131044,2,65522,AS1,1,4,3,226,8.66291e-09,0.900672,211491
weak,362,131044,2,65522,AS2,2,4,3,228,9.73973e-09,0.922198,211491
weak,362,131044,2,65522,BJ,0,4,4,239,6.24353e-09,0.840962,211491
weak,362,131044,2,65522,AS1,1,4,4,226,8.66291e-09,0.86125,211491
weak,362,131044,2,65522,AS2,2,4,4,228,9.73973e-09,0.908744,211491
weak,362,131044,2,65522,BJ,0,4,5,239,6.24353e-09,0.807339,211491
weak,362,131044,2,65522,AS1,1,4,5,226,8.66291e-09,0.863006,211491
weak,362,131044,2,65522,AS2,2,4,5,228,9.73973e-09,0.893841,211491
