scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,1448,2096704,32,65522,BJ,0,4,1,1025,9.50055e-09,2.60237,211495
weak,1448,2096704,32,65522,AS1,1,4,1,959,9.15483e-09,3.12046,211495
weak,1448,2096704,32,65522,AS2,2,4,1,960,9.97051e-09,3.22286,211495
weak,1448,2096704,32,65522,BJ,0,4,2,1025,9.50055e-09,2.60307,211495
weak,1448,2096704,32,65522,AS1,1,4,2,959,9.15483e-09,3.09192,211495
weak,1448,2096704,32,65522,AS2,2,4,2,960,9.97051e-09,3.22597,211495
weak,1448,2096704,32,65522,BJ,0,4,3,1025,9.50055e-09,2.60965,211495
weak,1448,2096704,32,65522,AS1,1,4,3,959,9.15483e-09,3.09575,211495
weak,1448,2096704,32,65522,AS2,2,4,3,960,9.97051e-09,3.22379,211495
weak,1448,2096704,32,65522,BJ,0,4,4,1025,9.50055e-09,2.60645,211495
weak,1448,2096704,32,65522,AS1,1,4,4,959,9.15483e-09,3.08549,211495
weak,1448,2096704,32,65522,AS2,2,4,4,960,9.97051e-09,3.22776,211495
weak,1448,2096704,32,65522,BJ,0,4,5,1025,9.50055e-09,2.60108,211495
weak,1448,2096704,32,65522,AS1,1,4,5,959,9.15483e-09,3.09793,211495
weak,1448,2096704,32,65522,AS2,2,4,5,960,9.97051e-09,3.21617,211495
