scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,512,262144,4,65536,BJ,0,4,1,299,9.16747e-09,0.719738,211492
weak,512,262144,4,65536,AS1,1,4,1,288,8.47553e-09,1.08877,211492
weak,512,262144,4,65536,AS2,2,4,1,292,8.75927e-09,1.3865,211492
weak,512,262144,4,65536,BJ,0,4,2,299,9.16747e-09,0.988762,211492
weak,512,262144,4,65536,AS1,1,4,2,288,8.47553e-09,1.2082,211492
weak,512,262144,4,65536,AS2,2,4,2,292,8.75927e-09,0.958462,211492
weak,512,262144,4,65536,BJ,0,4,3,299,9.16747e-09,0.717168,211492
weak,512,262144,4,65536,AS1,1,4,3,288,8.47553e-09,1.076,211492
weak,512,262144,4,65536,AS2,2,4,3,292,8.75927e-09,0.889774,211492
weak,512,262144,4,65536,BJ,0,4,4,299,9.16747e-09,0.987339,211492
weak,512,262144,4,65536,AS1,1,4,4,288,8.47553e-09,1.18903,211492
weak,512,262144,4,65536,AS2,2,4,4,292,8.75927e-09,1.26417,211492
weak,512,262144,4,65536,BJ,0,4,5,299,9.16747e-09,1.0552,211492
weak,512,262144,4,65536,AS1,1,4,5,288,8.47553e-09,1.11922,211492
weak,512,262144,4,65536,AS2,2,4,5,292,8.75927e-09,0.832744,211492
