scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,724,524176,8,65522,BJ,0,4,1,462,7.77661e-09,1.87532,211493
weak,724,524176,8,65522,AS1,1,4,1,454,9.39962e-09,3.1344,211493
weak,724,524176,8,65522,AS2,2,4,1,449,8.97536e-09,1.87147,211493
weak,724,524176,8,65522,BJ,0,4,2,462,7.77661e-09,1.85498,211493
weak,724,524176,8,65522,AS1,1,4,2,454,9.39962e-09,2.4248,211493
weak,724,524176,8,65522,AS2,2,4,2,449,8.97536e-09,2.38936,211493
weak,724,524176,8,65522,BJ,0,4,3,462,7.77661e-09,1.51727,211493
weak,724,524176,8,65522,AS1,1,4,3,454,9.39962e-09,1.69615,211493
weak,724,524176,8,65522,AS2,2,4,3,449,8.97536e-09,2.46518,211493
weak,724,524176,8,65522,BJ,0,4,4,462,7.77661e-09,2.35859,211493
weak,724,524176,8,65522,AS1,1,4,4,454,9.39962e-09,1.85611,211493
weak,724,524176,8,65522,AS2,2,4,4,449,8.97536e-09,2.04521,211493
weak,724,524176,8,65522,BJ,0,4,5,462,7.77661e-09,2.28397,211493
weak,724,524176,8,65522,AS1,1,4,5,454,9.39962e-09,2.52993,211493
weak,724,524176,8,65522,AS2,2,4,5,449,8.97536e-09,2.30394,211493
