method,N_1,N_128,k_1,k_128,T_1,T_128,weak_efficiency_pct
CG,256,2896,470,5429,0.15471240000000003,3.1082185714285715,4.97752640120455
BJ,256,2896,102,2135,0.3203778,7.794988000000001,4.110048662037709
AS1,256,2896,102,1900,0.36770420000000004,10.35894,3.5496315260055566
AS2,256,2896,102,1909,0.36984659999999997,11.18242,3.307393211845021
