criterion,scaling,method,grid_size,processes,iteration_reduction_pct,time_per_iteration_change_pct,total_runtime_change_pct,runs,cv_pct,bj_cv_pct
Largest iteration reduction,strong,AS2,2048,128,11.19221411192214,27.533423346022264,13.259609540871365,5,1.0432419004234625,2.682079385333078
Closest to runtime break-even; Best AS1 runtime result,strong,AS1,2048,128,10.70559610705596,16.481739733313564,4.011675138992897,5,0.6506839707033776,2.682079385333078
Largest runtime increase,strong,AS2,2048,32,0.09074410163339383,127.74379030501451,127.53712624847638,5,9.119730032453395,0.18264670468984232
Best AS2 runtime result,strong,AS2,2048,2,8.477366255144032,16.036795262516037,6.199931137380932,5,2.7707618395928773,0.8051303995594998
