scaling,grid_size,processes,method,runs,mean_iterations,iteration_values,max_relative_residual,mean_total_time,std_total_time,cv_pct
strong,2048,1,CG,5,3826.0,1,9.86302e-09,156.103,0.27035809586545856,0.1731921205008607
strong,2048,1,BJ,5,764.0,1,9.63899e-09,208.33859999999999,2.6060688402265897,1.2508814210264396
strong,2048,1,AS1,5,764.0,1,9.63899e-09,239.8098,2.9899853176897064,1.2468153168426421
strong,2048,1,AS2,5,764.0,1,9.63899e-09,240.78119999999998,2.8743850124852797,1.1937746852683182
strong,2048,2,CG,5,3826.0,1,9.8528e-09,56.531780000000005,0.46836157186515603,0.8284925255584664
strong,2048,2,BJ,5,1215.0,1,9.36541e-09,130.695,1.0522651757042882,0.8051303995594998
strong,2048,2,AS1,5,1150.0,1,9.92848e-09,142.565,1.858426215914952,1.3035641398063704
strong,2048,2,AS2,5,1112.0,1,9.81766e-09,138.798,3.845762018118122,2.7707618395928773
strong,2048,4,CG,5,3826.0,1,9.84853e-09,31.02038,0.36986801294515903,1.192338755828133
strong,2048,4,BJ,5,1146.0,1,9.85032e-09,48.744479999999996,0.04537799025959639,0.09309359800247412
strong,2048,4,AS1,5,1069.0,1,8.42689e-09,54.044560000000004,0.12514045309171595,0.23155050775085587
strong,2048,4,AS2,5,1115.0,1,9.20774e-09,56.61994,0.09575733914431843,0.16912299649967563
strong,2048,8,CG,5,3826.0,1,9.84877e-09,15.165020000000002,0.23538822612866572,1.5521788044372224
strong,2048,8,BJ,5,1110.0,1,8.89002e-09,23.69616,0.06162635799720687,0.2600689647487478
strong,2048,8,AS1,5,1066.0,1,9.93073e-09,28.014300000000002,0.021542864247818514,0.07689952719796145
strong,2048,8,AS2,5,1106.0,1,9.51073e-09,29.23606,0.03162448418551738,0.1081694461754333
strong,2048,16,CG,5,3826.0,1,9.84847e-09,7.40836,0.04547054376186851,0.61377340952476
strong,2048,16,BJ,5,1079.0,1,9.60647e-09,11.55172,0.00869982758449819,0.07531196726113679
strong,2048,16,AS1,5,1066.0,1,9.85554e-09,14.889619999999999,0.03484116817788996,0.23399635570209287
strong,2048,16,AS2,5,1036.0,1,8.97052e-09,14.63876,0.029892524149024876,0.20420120385213553
strong,2048,32,CG,5,3826.0,1,9.84837e-09,3.4431559999999997,0.02169172030983267,0.6299952807782359
strong,2048,32,BJ,5,1102.0,1,9.23498e-09,5.875762,0.010731885668417974,0.18264670468984232
strong,2048,32,AS1,5,1072.0,1,9.48762e-09,8.031782,0.012026673272356262,0.1497385421112807
strong,2048,32,AS2,5,1101.0,1,9.99226e-09,13.36954,1.2192659545808697,9.119730032453395
strong,2048,64,CG,5,3826.0,1,9.84837e-09,2.0517719999999997,0.04459773447160744,2.1736203862616046
strong,2048,64,BJ,5,1147.0,1,8.75946e-09,4.174404,0.284015521635702,6.803738249477099
strong,2048,64,AS1,5,1083.0,1,9.25241e-09,5.62683,0.014520187670963474,0.25805271655556455
strong,2048,64,AS2,5,1103.0,1,9.39658e-09,6.1099,0.04579299291376358,0.749488419020992
strong,2048,128,CG,5,3826.0,1,9.84837e-09,1.105608,0.03031469148779185,2.7419023277501475
strong,2048,128,BJ,5,1233.0,1,8.66811e-09,2.267382,0.060812985208752855,2.682079385333078
strong,2048,128,AS1,5,1101.0,1,9.158e-09,2.358342,0.015345353368365448,0.6506839707033776
strong,2048,128,AS2,5,1095.0,1,9.60991e-09,2.568028,0.026790744110606637,1.0432419004234625
weak,256,1,CG,5,470.0,1,9.6476e-09,0.15471240000000003,0.002941045868394436,1.9009761779886005
weak,256,1,BJ,5,102.0,1,9.00337e-09,0.3203778,0.0049833193957441605,1.5554509069430407
weak,256,1,AS1,5,102.0,1,9.00337e-09,0.36770420000000004,0.003157254139279895,0.858639672671646
weak,256,1,AS2,5,102.0,1,9.00337e-09,0.36984659999999997,0.007223093263969386,1.952997070669133
weak,362,2,CG,5,663.0,1,9.84677e-09,0.23165360000000002,0.006578423770174738,2.8397675538712708
weak,362,2,BJ,5,239.0,1,6.24353e-09,0.7964551999999999,0.010134058500916568,1.2723952961719087
weak,362,2,AS1,5,226.0,1,8.66291e-09,0.9165485999999999,0.01516207889110192,1.654258038373734
weak,362,2,AS2,5,228.0,1,9.73973e-09,0.9114348,0.01821903665674997,1.9989402046915448
weak,512,4,CG,5,941.0,1,9.84818e-09,0.3257474,0.0032035441779379296,0.9834442816544137
weak,512,4,BJ,5,299.0,1,9.16747e-09,0.7148566,0.0004226710304717046,0.05912668785203979
weak,512,4,AS1,5,288.0,1,8.47553e-09,0.8078412,0.0039832276736335185,0.493070627449246
weak,512,4,AS2,5,292.0,1,8.75927e-09,0.8285627999999999,0.0007649824834595731,0.09232643361005022
weak,724,8,CG,5,1336.0,1,9.99247e-09,0.45773659999999994,0.0025325163967879994,0.553269368625537
weak,724,8,BJ,5,462.0,1,7.77661e-09,1.114312,0.0015499258046758454,0.13909262438848774
weak,724,8,AS1,5,454.0,1,9.39962e-09,1.2975619999999999,0.0028217228779594396,0.21746343357461453
weak,724,8,AS2,5,449.0,1,8.97536e-09,1.3060399999999999,0.0019866177287037683,0.15211002179900834
weak,1024,16,CG,5,1898.0,1,9.95871e-09,0.6880246,0.009027332568372556,1.3120653779490672
weak,1024,16,BJ,5,571.0,1,9.18973e-09,1.394858,0.004230540154637445,0.3032954002943271
weak,1024,16,AS1,5,556.0,1,9.88594e-09,1.6450020000000003,0.002528036787707005,0.15367986104010845
weak,1024,16,AS2,5,551.0,1,9.87306e-09,1.6710439999999998,0.0022111151032907107,0.13231938257105802
weak,1448,32,CG,5,2694.0,1,9.96858e-09,1.0112700000000001,0.0049807579744452326,0.492525040241007
weak,1448,32,BJ,5,1025.0,1,9.50055e-09,2.6005320000000003,0.0029143558464950143,0.11206767870939538
weak,1448,32,AS1,5,959.0,1,9.15483e-09,3.0817360000000003,0.003950877117805869,0.12820297124107544
weak,1448,32,AS2,5,960.0,1,9.97051e-09,3.2037280000000004,0.003322690175144249,0.10371324204627386
weak,2048,64,CG,5,3826.0,1,9.84837e-09,2.0517719999999997,0.04459773447160744,2.1736203862616046
weak,2048,64,BJ,5,1147.0,1,8.75946e-09,4.116894,0.06289314930896678,1.527684446307502
weak,2048,64,AS1,5,1083.0,1,9.25241e-09,5.63061,0.019617201635299675,0.3484027775906993
weak,2048,64,AS2,5,1103.0,1,9.39658e-09,6.097404,0.056206993603999084,0.9218184263991541
weak,2896,128,CG,7,5429.0,1,9.96225e-09,3.1082185714285715,0.43882080307830174,14.118080598064726
weak,2896,128,BJ,5,2135.0,1,9.62245e-09,7.794988000000001,0.10501731081112296,1.347241468635012
weak,2896,128,AS1,5,1900.0,1,9.50243e-09,10.35894,0.05689712646522634,0.5492562604400291
weak,2896,128,AS2,5,1909.0,1,9.94903e-09,11.18242,0.02979055219360606,0.26640523423021184
