scaling,method,grid_size,processes,runs,mean_iterations,bj_iterations,mean_total_time,bj_total_time,mean_time_per_iteration_ms,bj_time_per_iteration_ms,iteration_reduction_pct,time_per_iteration_change_pct,total_runtime_change_pct,cv_pct,bj_cv_pct,quality_check
strong,AS1,512,1,5,201.0,201.0,3.0694000000000004,1.918006,15.270646766169158,9.542318407960199,0.0,60.030781968356756,60.03078196835673,4.68955192242377,0.058050349115341904,PASS
strong,AS2,512,1,5,201.0,201.0,2.2427319999999997,1.918006,11.157870646766167,9.542318407960199,0.0,16.93039542107791,16.93039542107791,0.11604847727513137,0.058050349115341904,PASS
strong,AS1,512,2,5,310.0,335.0,2.4771840000000003,2.2805779999999998,7.990916129032259,6.80769552238806,7.462686567164179,17.38063347212008,8.620884705543968,2.0187021155785896,0.5573596516080662,PASS
strong,AS2,512,2,5,322.0,335.0,2.61156,2.2805779999999998,8.110434782608696,6.80769552238806,3.8805970149253732,19.13627388205591,14.513075194095538,1.5300535208125385,0.5573596516080662,PASS
strong,AS1,512,4,5,288.0,299.0,0.8070798,0.7144162000000001,2.8023604166666667,2.389351839464883,3.678929765886288,17.285381348201977,12.970534542749723,0.11264065083782275,0.09742780373928181,PASS
strong,AS2,512,4,5,292.0,299.0,0.82897,0.7144162000000001,2.8389383561643835,2.389351839464883,2.3411371237458196,18.816254235717313,16.034602798760712,0.13615797622933837,0.09742780373928181,PASS
strong,AS1,512,8,5,281.0,289.0,0.3715984,0.3487482,1.3224142348754446,1.2067411764705882,2.7681660899653977,9.585573166830253,6.552062490931848,0.3931331652496917,0.2050238317722241,PASS
strong,AS2,512,8,5,281.0,289.0,0.3813854,0.3487482,1.3572434163701068,1.2067411764705882,2.7681660899653977,12.471791203785676,9.358385218905783,0.21004264172176954,0.2050238317722241,PASS
strong,AS1,512,16,5,291.0,309.0,0.2014622,0.19195020000000002,0.6923099656357388,0.6211980582524272,5.825242718446602,11.447541800656243,4.955451987025797,0.12317724930550802,0.5340587917967777,PASS
strong,AS2,512,16,5,289.0,309.0,0.21067719999999998,0.19195020000000002,0.7289868512110725,0.6211980582524272,6.472491909385114,17.351759479396943,9.75617634157191,0.241652521866855,0.5340587917967777,PASS
strong,AS1,512,32,5,295.0,324.0,0.1157866,0.1090916,0.3924969491525424,0.3367024691358025,8.950617283950617,16.570855616219518,6.137044465385059,0.4506372402364862,0.8311098185049643,PASS
strong,AS2,512,32,7,294.0,324.0,0.13325499999999998,0.1090916,0.4532482993197279,0.3367024691358025,9.25925925925926,34.61389234330767,22.149643052260657,13.247963920110948,0.8311098185049643,PASS
strong,AS1,1024,1,5,383.0,383.0,26.980520000000002,23.06232,70.44522193211489,60.214934725848565,0.0,16.989617696745178,16.989617696745178,2.328064361788629,3.3610950970989193,PASS
strong,AS2,1024,1,5,383.0,383.0,26.98114,23.06232,70.4468407310705,60.214934725848565,0.0,16.992306064611014,16.992306064611018,2.996774706019498,3.3610950970989193,PASS
