grid_size,processes,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
1024,16,AS1,1,2,5,773,9.82823e-09,1.54709,0.205769,0.00341354,1.11003,0.0520786,0.0854256,219192
1024,16,AS1,1,2,6,773,9.82823e-09,1.54668,0.211251,0.0037061,1.09791,0.0600395,0.0834329,219192
1024,16,AS1,1,2,7,773,9.82823e-09,1.54827,0.212096,0.00346461,1.10086,0.0571935,0.0843156,219192
1024,16,AS1,1,2,8,773,9.82823e-09,1.54642,0.206542,0.0132958,1.11864,0.0504363,0.0785997,219192
1024,16,AS1,1,2,9,773,9.82823e-09,1.54822,0.203742,0.00360044,1.09681,0.0716302,0.0823042,219192
1024,16,AS1,1,2,10,773,9.82823e-09,1.54999,0.207305,0.00665784,1.12013,0.0503918,0.0799869,219192
1024,16,AS2,2,2,1,805,9.73055e-09,1.64622,0.218953,0.00828275,1.21528,0.0288585,0.085003,219192
1024,16,AS2,2,2,2,805,9.73055e-09,1.64284,0.218305,0.00817068,1.2072,0.0343384,0.0846551,219192
1024,16,AS2,2,2,3,805,9.73055e-09,1.64403,0.212615,0.00389575,1.16926,0.0772303,0.0873058,219192
1024,16,AS2,2,2,4,805,9.73055e-09,1.64375,0.213358,0.00560588,1.17513,0.0760645,0.082914,219192
1024,16,AS2,2,2,5,805,9.73055e-09,1.64416,0.226127,0.0123844,1.21031,0.0292646,0.0823792,219192
1024,16,AS2,2,2,6,805,9.73055e-09,1.64507,0.211784,0.00383766,1.18456,0.0657051,0.0854664,219192
1024,16,AS2,2,2,7,805,9.73055e-09,1.64085,0.218395,0.00971835,1.20776,0.034391,0.0840109,219192
1024,16,AS2,2,2,8,805,9.73055e-09,1.64626,0.219747,0.00979188,1.21017,0.0379295,0.0822868,219192
1024,16,AS2,2,2,9,805,9.73055e-09,1.64764,0.213323,0.00813109,1.20989,0.0455408,0.0820869,219192
1024,16,AS2,2,2,10,805,9.73055e-09,1.6466,0.211314,0.00731086,1.20355,0.0514599,0.0843139,219192
1024,16,BJ,0,4,1,571,9.18973e-09,1.40877,0.101124,0.00253647,1.15422,0.0231489,0.0620188,219192
1024,16,BJ,0,4,2,571,9.18973e-09,1.40495,0.100902,0.00420177,1.15686,0.0194809,0.0591928,219192
1024,16,BJ,0,4,3,571,9.18973e-09,1.40247,0.101417,0.00612723,1.15626,0.0145769,0.0610056,219192
1024,16,BJ,0,4,4,571,9.18973e-09,1.40443,0.100596,0.00491731,1.1546,0.0206009,0.0603132,219192
1024,16,BJ,0,4,5,571,9.18973e-09,1.41053,0.097345,0.00263944,1.15641,0.0275752,0.0608071,219192
1024,16,BJ,0,4,6,571,9.18973e-09,1.40559,0.101559,0.00276448,1.15498,0.0192059,0.0615139,219192
1024,16,BJ,0,4,7,571,9.18973e-09,1.40458,0.103192,0.00458901,1.15452,0.0198558,0.0587645,219192
1024,16,BJ,0,4,8,571,9.18973e-09,1.40246,0.0995576,0.00387963,1.1561,0.0181245,0.0601841,219192
1024,16,BJ,0,4,9,571,9.18973e-09,1.40594,0.102885,0.00419376,1.15487,0.0192891,0.0606621,219192
1024,16,BJ,0,4,10,571,9.18973e-09,1.4032,0.101885,0.00574258,1.15585,0.0154108,0.0609742,219192
1024,16,AS1,1,4,1,556,9.88594e-09,1.67964,0.149168,0.00257846,1.36379,0.0380466,0.0609563,219192
1024,16,AS1,1,4,2,556,9.88594e-09,1.68649,0.151498,0.002401,1.37004,0.0384531,0.0586728,219192
1024,16,AS1,1,4,3,556,9.88594e-09,1.6806,0.146321,0.00420553,1.37366,0.0361655,0.0575219,219192
1024,16,AS1,1,4,4,556,9.88594e-09,1.68225,0.153982,0.00262323,1.36565,0.0360131,0.0588708,219192
1024,16,AS1,1,4,5,556,9.88594e-09,1.68166,0.146982,0.00459003,1.38514,0.0251952,0.0575657,219192
1024,16,AS1,1,4,6,556,9.88594e-09,1.67923,0.145976,0.00248511,1.36408,0.0411945,0.0601024,219192
1024,16,AS1,1,4,7,556,9.88594e-09,1.67969,0.149574,0.00948026,1.36533,0.0409637,0.0570905,219192
1024,16,AS1,1,4,8,556,9.88594e-09,1.68057,0.15015,0.00363887,1.35836,0.0454733,0.058786,219192
1024,16,AS1,1,4,9,556,9.88594e-09,1.68333,0.156087,0.00262569,1.36617,0.0346423,0.0586102,219192
1024,16,AS1,1,4,10,556,9.88594e-09,1.68227,0.151479,0.00266606,1.36781,0.0353581,0.0599706,219192
1024,16,AS2,2,4,1,551,9.87306e-09,1.70656,0.146624,0.00612056,1.41072,0.0262385,0.0564493,219192
1024,16,AS2,2,4,2,551,9.87306e-09,1.71162,0.146861,0.00676626,1.4099,0.0323268,0.0561669,219192
1024,16,AS2,2,4,3,551,9.87306e-09,1.7061,0.152438,0.00253272,1.38041,0.0476665,0.058433,219192
1024,16,AS2,2,4,4,551,9.87306e-09,1.70562,0.150023,0.00295108,1.38979,0.0386064,0.0598727,219192
1024,16,AS2,2,4,5,551,9.87306e-09,1.70886,0.148244,0.00512963,1.41605,0.0187513,0.0577652,219192
1024,16,AS2,2,4,6,551,9.87306e-09,1.71059,0.148656,0.00582136,1.41169,0.0264279,0.0573672,219192
1024,16,AS2,2,4,7,551,9.87306e-09,1.70764,0.150263,0.0080946,1.41434,0.0206013,0.0560363,219192
1024,16,AS2,2,4,8,551,9.87306e-09,1.70584,0.150349,0.00688941,1.41173,0.0204905,0.0568924,219192
1024,16,AS2,2,4,9,551,9.87306e-09,1.70711,0.147273,0.00700786,1.41039,0.0266686,0.056657,219192
1024,16,AS2,2,4,10,551,9.87306e-09,1.71061,0.147795,0.00306202,1.39171,0.045735,0.0582033,219192
1024,16,BJ,0,8,1,437,9.67418e-09,1.96217,0.0757932,0.0037763,1.76045,0.0270349,0.0462589,219192
1024,16,BJ,0,8,2,437,9.67418e-09,1.96234,0.0775719,0.00362779,1.76258,0.01995,0.0494718,219192
1024,16,BJ,0,8,3,437,9.67418e-09,1.96207,0.0787239,0.00476151,1.76782,0.0133013,0.0484827,219192
1024,16,BJ,0,8,4,437,9.67418e-09,1.96136,0.0782524,0.00524116,1.76717,0.0157568,0.0469753,219192
1024,16,BJ,0,8,5,437,9.67418e-09,1.97204,0.079227,0.00278628,1.76559,0.0256818,0.0486428,219192
1024,16,BJ,0,8,6,437,9.67418e-09,1.96287,0.0759958,0.00386503,1.7613,0.0259085,0.0470581,219192
1024,16,BJ,0,8,7,437,9.67418e-09,1.96225,0.0774304,0.00404677,1.76331,0.0208268,0.0474222,219192
1024,16,BJ,0,8,8,437,9.67418e-09,1.96349,0.0790948,0.00571438,1.76714,0.0174973,0.0464419,219192
1024,16,BJ,0,8,9,437,9.67418e-09,1.96337,0.0773099,0.00387391,1.7669,0.0188249,0.0471471,219192
1024,16,BJ,0,8,10,437,9.67418e-09,1.96322,0.0772574,0.00229139,1.7614,0.0221986,0.049556,219192
1024,16,AS1,1,8,1,400,9.3357e-09,2.04395,0.109023,0.00482272,1.81319,0.0308472,0.0415845,219192
1024,16,AS1,1,8,2,400,9.3357e-09,2.04078,0.110111,0.00374026,1.79968,0.0369606,0.0440479,219192
1024,16,AS1,1,8,3,400,9.3357e-09,2.03881,0.107264,0.00284002,1.81743,0.0206161,0.0441891,219192
1024,16,AS1,1,8,4,400,9.3357e-09,2.03995,0.111783,0.00363957,1.81691,0.0169149,0.0435509,219192
1024,16,AS1,1,8,5,400,9.3357e-09,2.04217,0.116074,0.00192849,1.80393,0.0296582,0.0426824,219192
1024,16,AS1,1,8,6,400,9.3357e-09,2.03995,0.109611,0.00211859,1.80942,0.0270971,0.0438275,219192
1024,16,AS1,1,8,7,400,9.3357e-09,2.03939,0.112631,0.00364855,1.81672,0.0179357,0.042084,219192
1024,16,AS1,1,8,8,400,9.3357e-09,2.03986,0.116108,0.00217761,1.79968,0.0293735,0.0442774,219192
1024,16,AS1,1,8,9,400,9.3357e-09,2.0412,0.10934,0.00297655,1.81452,0.0250891,0.0427141,219192
1024,16,AS1,1,8,10,400,9.3357e-09,2.03882,0.10955,0.00407697,1.81711,0.021109,0.0416049,219192
1024,16,AS2,2,8,1,396,8.47119e-09,2.07065,0.110693,0.004491,1.85605,0.013484,0.0412036,219192
1024,16,AS2,2,8,2,396,8.47119e-09,2.0741,0.112828,0.00510436,1.85725,0.0129405,0.0419511,219192
1024,16,AS2,2,8,3,396,8.47119e-09,2.07235,0.112006,0.00521361,1.85683,0.0121998,0.0420442,219192
1024,16,AS2,2,8,4,396,8.47119e-09,2.07147,0.11245,0.00576904,1.85657,0.0122146,0.04088,219192
1024,16,AS2,2,8,5,396,8.47119e-09,2.0737,0.108036,0.00174515,1.83083,0.0429861,0.0427654,219192
1024,16,AS2,2,8,6,396,8.47119e-09,2.06992,0.107276,0.00630946,1.84941,0.0222166,0.0422386,219192
1024,16,AS2,2,8,7,396,8.47119e-09,2.07066,0.106775,0.00241913,1.84334,0.0310859,0.0408369,219192
1024,16,AS2,2,8,8,396,8.47119e-09,2.07216,0.113222,0.00580038,1.8523,0.0159178,0.0420036,219192
1024,16,AS2,2,8,9,396,8.47119e-09,2.07236,0.112625,0.00618858,1.85519,0.0139856,0.0415172,219192
1024,16,AS2,2,8,10,396,8.47119e-09,2.06937,0.111239,0.0042376,1.85566,0.0115837,0.0416416,219192
