scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,mean_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,mean_spmv_time,mean_halo_time,mean_preconditioner_time,mean_reduction_time,mean_vector_time,job_id
strong,512,262144,16,16384,AS1,1,4,5,291,8.90873e-09,2.9399,5.3182,0.278333,13.5763,0.355268,0.33773,0.69939,2.676,0.0105504,212470
strong,512,262144,16,16384,AS2,2,4,5,289,8.49987e-09,3.23941,5.89645,0.289387,15.0323,0.398109,0.38052,0.868457,2.96116,0.0107673,212470
strong,512,262144,16,16384,BJ,0,4,5,309,9.99903e-09,2.14701,3.74849,0.263966,9.64396,0.330651,0.312162,0.217328,1.8966,0.0109839,212470
strong,1024,1048576,16,65536,AS1,1,4,5,556,9.88594e-09,2.5804,0.140555,2.30248,2.68644,0.22171,0.0281564,2.00438,0.395302,0.0849697,212470
strong,1024,1048576,16,65536,AS2,2,4,5,551,9.87306e-09,2.59468,0.119858,2.36857,2.724,0.228512,0.0362186,2.02836,0.360384,0.0812772,212470
strong,1024,1048576,16,65536,BJ,0,4,5,571,9.18973e-09,2.21988,0.190332,1.94823,2.53846,0.182885,0.0369702,1.6265,0.40164,0.079775,212470
strong,2048,4194304,16,262144,AS1,1,4,5,1066,9.85554e-09,58.8577,27.6156,33.1713,97.6094,6.38862,4.21594,25.4096,40.8877,1.41804,212470
strong,2048,4194304,16,262144,AS2,2,4,5,1036,8.97052e-09,57.1577,25.2848,36.6087,95.2834,6.53581,4.38053,25.0243,39.5844,1.32308,212470
strong,2048,4194304,16,262144,BJ,0,4,5,1079,9.60647e-09,41.727,15.0259,20.7841,60.7659,5.607,3.95651,14.3328,27.7096,1.2747,212470
