scaling,grid_size,processes,method,mean_iterations,mean_total_time,runs,bj_iterations,bj_total_time,iteration_reduction_pct,runtime_change_pct,quadrant
weak,256,1,AS1,102.0,0.2731071,10,102.0,0.2377694,0.0,14.862173181241989,right-upper: fewer iterations but slower
weak,362,2,AS1,226.0,0.6302802,10,239.0,0.5740921,5.4393305439330515,9.787297194997112,right-upper: fewer iterations but slower
weak,512,4,AS1,288.0,0.8058797,10,299.0,0.7145063,3.678929765886285,12.78832670894574,right-upper: fewer iterations but slower
weak,724,8,AS1,454.0,1.293562,10,462.0,1.113861,1.7316017316017285,16.13316203727395,right-upper: fewer iterations but slower
weak,1024,16,AS1,556.0,1.6426010000000002,10,571.0,1.399454,2.626970227670755,17.374418880506283,right-upper: fewer iterations but slower
weak,1448,32,AS1,959.0,3.073949,10,1025.0,2.603536,6.4390243902438975,18.068234892853408,right-upper: fewer iterations but slower
weak,2048,64,AS1,1083.0,5.637449,10,1147.0,4.100351,5.579773321708803,37.486985870234044,right-upper: fewer iterations but slower
weak,2896,128,AS1,1900.0,10.40896,10,2135.0,7.775731,11.007025761124122,33.86471316973285,right-upper: fewer iterations but slower
weak,256,1,AS2,102.0,0.2730969,10,102.0,0.2377694,0.0,14.857883310468045,right-upper: fewer iterations but slower
weak,362,2,AS2,228.0,0.6363833,10,239.0,0.5740921,4.602510460251041,10.85038445921831,right-upper: fewer iterations but slower
weak,512,4,AS2,292.0,0.8279038,10,299.0,0.7145063,2.341137123745818,15.870748795357015,right-upper: fewer iterations but slower
weak,724,8,AS2,449.0,1.302238,10,462.0,1.113861,2.813852813852813,16.912074307296866,right-upper: fewer iterations but slower
weak,1024,16,AS2,551.0,1.669578,10,571.0,1.399454,3.5026269702276736,19.30209924727786,right-upper: fewer iterations but slower
weak,1448,32,AS2,960.0,3.2079,10,1025.0,2.603536,6.341463414634141,23.213199279748764,right-upper: fewer iterations but slower
weak,2048,64,AS2,1103.0,6.093189000000001,10,1147.0,4.100351,3.8360941586748076,48.6016441031512,right-upper: fewer iterations but slower
weak,2896,128,AS2,1909.0,11.25357,10,2135.0,7.775731,10.585480093676814,44.726843045367694,right-upper: fewer iterations but slower
