grid_size,processes,method,mean_total_time,std_total_time,baseline_total_time,speedup,parallel_efficiency
512,1,AS1,3.0694000000000004,0.1287448397412494,3.0694000000000004,1.0,1.0
512,2,AS1,2.4771840000000003,0.0447275899641373,3.0694000000000004,1.2390682323154032,0.6195341161577016
512,4,AS1,0.8070798,0.0008131237052256,3.0694000000000004,3.8030935726553934,0.9507733931638483
512,8,AS1,0.3715984,0.0013066477107468,3.0694000000000004,8.25999250804094,1.0324990635051174
512,16,AS1,0.2014622,0.0002219571129745,3.0694000000000004,15.23561243746966,0.9522257773418538
512,32,AS1,0.1157865999999999,0.000466692018359,3.0694000000000004,26.509112453427278,0.8284097641696024
512,1,AS2,2.242732,0.0023278865951759,2.242732,1.0,1.0
512,2,AS2,2.61156,0.0357397593724412,2.242732,0.8587710027722895,0.42938550138614473
512,4,AS2,0.82897,0.0010095478195707,2.242732,2.705444105335537,0.6763610263338843
512,8,AS2,0.3813854,0.0007165005512907,2.242732,5.880487297101568,0.735060912137696
512,16,AS2,0.2106771999999999,0.0004553589353466,2.242732,10.645347479461476,0.6653342174663422
512,32,AS2,0.133255,0.016344033939899,2.242732,16.830377846985105,0.5259493077182845
512,1,BJ,1.918006,0.000995863444454,1.918006,1.0,1.0
512,2,BJ,2.280578,0.0113690833403577,1.918006,0.8410174964416915,0.4205087482208458
512,4,BJ,0.7144162000000002,0.0006225571138457,1.918006,2.684717955723848,0.671179488930962
512,8,BJ,0.3487482,0.0006395305778459,1.918006,5.499687166844159,0.6874608958555198
512,16,BJ,0.1919502,0.000916901390554,1.918006,9.99220631184547,0.6245128944903419
512,32,BJ,0.1090916,0.0008109511945857,1.918006,17.581610316467998,0.5494253223896249
512,1,CG,1.339762,0.0033736057860988,1.339762,1.0,1.0
512,2,CG,0.6866194,0.0061024293719796,1.339762,1.951244022525434,0.975622011262717
512,4,CG,0.3257473999999999,0.0028653370203171,1.339762,4.112886242530256,1.028221560632564
512,8,CG,0.1695638,0.0011540893206333,1.339762,7.901226558970723,0.9876533198713404
512,16,CG,0.09099402,0.0009123361363006,1.339762,14.723626893283756,0.9202266808302347
512,32,CG,0.05319406,0.0004225806649623,1.339762,25.18630839608783,0.7870721373777447
1024,1,AS1,26.98052,0.5618110693106716,26.98052,1.0,1.0
1024,2,AS1,19.83418,0.1060227786845833,26.98052,1.3603042828087675,0.6801521414043837
1024,4,AS1,6.628678000000001,0.009384042625649,26.98052,4.0702716288225185,1.0175679072056296
1024,8,AS1,3.170206,0.0034209624376774,26.98052,8.51065198917673,1.0638314986470911
1024,16,AS1,2.580398,0.14055470599023,26.98052,10.455952918890805,0.6534970574306753
1024,32,AS1,0.8067808,0.0024015070601603,26.98052,33.442193963961465,1.0450685613737958
1024,64,AS1,0.6074724,0.0046066200451089,26.98052,44.414396440068714,0.6939749443760737
1024,1,AS2,26.98114,0.7232016084052915,26.98114,1.0,1.0
1024,2,AS2,18.54724,0.4045746289623222,26.98114,1.4547253391879331,0.7273626695939666
1024,4,AS2,6.965752,0.0101968630470355,26.98114,3.873399454933222,0.9683498637333054
1024,8,AS2,3.40875,0.0031830614194514,26.98114,7.915259259259259,0.9894074074074074
1024,16,AS2,2.594684,0.1198577234223978,26.98114,10.398622722458688,0.649913920153668
1024,32,AS2,0.865681,0.0129778704724619,26.98114,31.167531688924672,0.973985365278896
1024,64,AS2,0.7012617999999999,0.0587548333753062,26.98114,38.47513154145856,0.60117393033529
1024,1,BJ,23.06232,0.693312112688073,23.06232,1.0,1.0
1024,2,BJ,17.293740000000003,0.1347440625779106,23.06232,1.3335646309011235,0.6667823154505618
1024,4,BJ,5.588870000000001,0.0076847199038091,23.06232,4.126472793248008,1.031618198312002
1024,8,BJ,2.8107960000000003,0.0022955313110475,23.06232,8.204907079702688,1.025613384962836
1024,16,BJ,2.219878,0.1903317606076296,23.06232,10.389003359644088,0.6493127099777555
1024,32,BJ,0.766943,0.0020002292868568,23.06232,30.070448520946144,0.939701516279567
1024,64,BJ,0.5836990000000001,0.0049270377307262,23.06232,39.51063818851839,0.6173537216955999
1024,1,CG,10.82092,0.0230671541374312,10.82092,1.0,1.0
1024,2,CG,5.459912,0.0232416913326032,10.82092,1.9818854223291509,0.9909427111645754
1024,4,CG,2.766826,0.011937126287344,10.82092,3.9109506705517436,0.9777376676379359
1024,8,CG,1.40159,0.0225910106015644,10.82092,7.720460334334577,0.9650575417918221
1024,16,CG,0.6880246000000001,0.0080742917113515,10.82092,15.727519045103907,0.9829699403189942
1024,32,CG,0.3794166,0.0020227003337123,10.82092,28.5198908007715,0.8912465875241093
1024,64,CG,0.2806564,0.0016727452406149,10.82092,38.55575714646094,0.6024337054134522
2048,1,AS1,239.8098,2.674324168832192,239.8098,1.0,1.0
2048,2,AS1,142.565,1.662226939981417,239.8098,1.6821085119068495,0.8410542559534248
2048,4,AS1,54.04456,0.1119290239392807,239.8098,4.437260660462404,1.109315165115601
2048,8,AS1,28.0143,0.0192685235552703,239.8098,8.560263865240252,1.0700329831550315
2048,16,AS1,14.88962,0.0311628881845054,239.8098,16.10583748947253,1.0066148430920332
2048,32,AS1,8.031782,0.0107569835920673,239.8098,29.8576081870748,0.9330502558460875
2048,64,AS1,5.626830000000001,0.0129872506713314,239.8098,42.618987955918335,0.665921686811224
2048,128,AS1,2.358342,0.013725301308168,239.8098,101.68576058943106,0.7944200046049301
2048,1,AS2,240.7812,2.5709281125694647,240.7812,1.0,1.0
2048,2,AS2,138.798,3.43975411911956,240.7812,1.7347598668568711,0.8673799334284356
2048,4,AS2,56.61994,0.0856479678684795,240.7812,4.2525866329070645,1.0631466582267661
2048,8,AS2,29.23606,0.0282857985568737,240.7812,8.235760906223343,1.0294701132779178
2048,16,AS2,14.63876,0.026736686406509,240.7812,16.448196431938225,1.028012276996139
2048,32,AS2,13.36954,1.090544622837598,240.7812,18.00968470119391,0.5628026469123096
2048,64,AS2,6.1099,0.0409584980193365,240.7812,39.40837002242263,0.6157557816003536
2048,128,AS2,2.5680279999999995,0.0239623699996473,240.7812,93.76112721512385,0.7325088063681551
2048,1,BJ,208.3386,2.330938832316283,208.3386,1.0,1.0
2048,2,BJ,130.695,0.9411745852922306,208.3386,1.5940824056008265,0.7970412028004132
2048,4,BJ,48.74448,0.0405873083611136,208.3386,4.274096266900375,1.0685240667250937
2048,8,BJ,23.69616,0.055120290274997,208.3386,8.792082767840867,1.0990103459801084
2048,16,BJ,11.551719999999998,0.0077813623485862,208.3386,18.03528825144654,1.1272055157154088
2048,32,BJ,5.875762,0.0095988903525354,208.3386,35.45729047568639,1.1080403273651998
