scaling,grid_size,processes,method,mean_iterations,mean_total_time,runs,bj_iterations,bj_total_time,iteration_reduction_pct,runtime_change_pct,quadrant
weak,256,1,AS1,102.0,0.36770420000000004,5,102.0,0.3203778,0.0,14.772059736973041,right-upper: fewer iterations but slower
weak,362,2,AS1,226.0,0.9165485999999999,5,239.0,0.7964551999999999,5.4393305439330515,15.078487779350302,right-upper: fewer iterations but slower
weak,512,4,AS1,288.0,0.8078412,5,299.0,0.7148566,3.678929765886285,13.007447927318584,right-upper: fewer iterations but slower
weak,724,8,AS1,454.0,1.2975619999999999,5,462.0,1.114312,1.7316017316017285,16.445124884233486,right-upper: fewer iterations but slower
weak,1024,16,AS1,556.0,1.6450020000000003,5,571.0,1.394858,2.626970227670755,17.933295002071926,right-upper: fewer iterations but slower
weak,1448,32,AS1,959.0,3.0817360000000003,5,1025.0,2.6005320000000003,6.4390243902438975,18.50405993850488,right-upper: fewer iterations but slower
weak,2048,64,AS1,1083.0,5.63061,5,1147.0,4.116894,5.579773321708803,36.768398700573776,right-upper: fewer iterations but slower
weak,2896,128,AS1,1900.0,10.35894,5,2135.0,7.794988000000001,11.007025761124122,32.89231490798959,right-upper: fewer iterations but slower
weak,256,1,AS2,102.0,0.36984659999999997,5,102.0,0.3203778,0.0,15.440770240634638,right-upper: fewer iterations but slower
weak,362,2,AS2,228.0,0.9114348,5,239.0,0.7964551999999999,4.602510460251041,14.43641776712614,right-upper: fewer iterations but slower
weak,512,4,AS2,292.0,0.8285627999999999,5,299.0,0.7148566,2.341137123745818,15.906155164546277,right-upper: fewer iterations but slower
weak,724,8,AS2,449.0,1.3060399999999999,5,462.0,1.114312,2.813852813852813,17.205953090337346,right-upper: fewer iterations but slower
weak,1024,16,AS2,551.0,1.6710439999999998,5,571.0,1.394858,3.5026269702276736,19.800295083800634,right-upper: fewer iterations but slower
weak,1448,32,AS2,960.0,3.2037280000000004,5,1025.0,2.6005320000000003,6.341463414634141,23.19510007952219,right-upper: fewer iterations but slower
weak,2048,64,AS2,1103.0,6.097404,5,1147.0,4.116894,3.8360941586748076,48.10689806441457,right-upper: fewer iterations but slower
weak,2896,128,AS2,1909.0,11.18242,5,2135.0,7.794988000000001,10.585480093676814,43.45653899659627,right-upper: fewer iterations but slower
