method,overlap,relative_overlap_pct,runs,iterations,total_mean,total_sd,prec_mean,prec_sd,total_cv_pct,prec_per_iter_ms,runtime_change_vs_bj_pct,iteration_change_vs_bj_pct
AS,1,1.5625,10,281.0,0.3800582,0.000898213634573279,0.315886,0.0018434497853511186,0.23633581240275278,1.124149466192171,7.799763671029636,-2.768166089965396
AS,2,3.125,10,281.0,0.3905048,0.0011196062601547853,0.3252879,0.0022416565526413674,0.2867074259150682,1.1576081850533808,10.762838829428457,-2.768166089965396
AS,6,9.375,10,309.0,0.4711529,0.0013375621647028124,0.4006832,0.002363832518977982,0.2838913152615239,1.2967093851132685,33.63787775903864,6.92041522491349
AS,12,18.75,10,300.0,0.5201241,0.0007336050178551173,0.4513668,0.002738679519606324,0.14104422730173766,1.504556,47.528076119938945,3.806228373702414
AS,19,29.6875,10,307.0,0.6096203,0.00045387934030480384,0.5312151,0.0036920670648176346,0.07445279304262077,1.730342345276873,72.91279143315994,6.228373702422152
AS,32,50.0,10,300.0,0.8123022000000001,0.002449349065454804,0.7290897000000001,0.011109741151600043,0.30153175326310866,2.430299,130.40151531912073,3.806228373702414
BJ,0,0.0,10,289.0,0.35255939999999997,0.00087350446160535,0.2886731,8.95649360954383e-05,0.24776093379026345,0.998868858131488,0.0,0.0
