scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,runtime,job_id
weak,724,524176,8,65884,BJ,0,4,1,462,7.77661e-09,12.5131,211943
weak,724,524176,8,65884,AS1,1,4,1,454,9.39962e-09,2.4249,211943
weak,724,524176,8,65884,AS2,2,4,1,449,8.97536e-09,4.71571,211943
weak,724,524176,8,65884,BJ,0,4,2,462,7.77661e-09,2.06191,211943
weak,724,524176,8,65884,AS1,1,4,2,454,9.39962e-09,11.3044,211943
weak,724,524176,8,65884,AS2,2,4,2,449,8.97536e-09,2.76313,211943
weak,724,524176,8,65884,BJ,0,4,3,462,7.77661e-09,1.17502,211943
weak,724,524176,8,65884,AS1,1,4,3,454,9.39962e-09,3.47824,211943
weak,724,524176,8,65884,AS2,2,4,3,449,8.97536e-09,13.5387,211943
weak,724,524176,8,65884,BJ,0,4,4,462,7.77661e-09,9.05412,211943
weak,724,524176,8,65884,AS1,1,4,4,454,9.39962e-09,4.40607,211943
weak,724,524176,8,65884,AS2,2,4,4,449,8.97536e-09,7.94907,211943
weak,724,524176,8,65884,BJ,0,4,5,462,7.77661e-09,1.50101,211943
weak,724,524176,8,65884,AS1,1,4,5,454,9.39962e-09,11.3504,211943
weak,724,524176,8,65884,AS2,2,4,5,449,8.97536e-09,3.06259,211943
