scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
weak,2048,4194304,64,65536,AS1,1,4,6,1083,9.25241e-09,5.62015,0.604011,0.0217721,4.53183,0.107563,0.193215,216670
weak,2048,4194304,64,65536,AS2,2,4,6,1103,9.39658e-09,6.05142,0.609051,0.0218267,4.90641,0.132759,0.215829,216670
weak,2048,4194304,64,65536,AS1,1,4,7,1083,9.25241e-09,5.61359,0.592506,0.0190213,4.47533,0.163201,0.19915,216670
weak,2048,4194304,64,65536,AS2,2,4,7,1103,9.39658e-09,6.0656,0.621721,0.051856,4.90616,0.140699,0.210459,216670
