grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
512,4,CG,1,941,9.84818e-09,0.32719,218968
512,4,CG,2,941,9.84818e-09,0.326603,218968
512,4,CG,3,941,9.84818e-09,0.321165,218968
512,4,CG,4,941,9.84818e-09,0.322721,218968
512,4,CG,5,941,9.84818e-09,0.320334,218968
512,4,CG,6,941,9.84818e-09,0.326801,218968
512,4,CG,7,941,9.84818e-09,0.324817,218968
512,4,CG,8,941,9.84818e-09,0.323464,218968
512,4,CG,9,941,9.84818e-09,0.328833,218968
512,4,CG,10,941,9.84818e-09,0.324358,218968
1024,4,CG,1,1898,9.95871e-09,2.80113,218968
1024,4,CG,2,1898,9.95871e-09,2.77891,218968
1024,4,CG,3,1898,9.95871e-09,2.77007,218968
1024,4,CG,4,1898,9.95871e-09,2.79292,218968
1024,4,CG,5,1898,9.95871e-09,2.7702,218968
1024,4,CG,6,1898,9.95871e-09,2.78822,218968
1024,4,CG,7,1898,9.95871e-09,2.79663,218968
1024,4,CG,8,1898,9.95871e-09,2.81121,218968
1024,4,CG,9,1898,9.95871e-09,2.79962,218968
1024,4,CG,10,1898,9.95871e-09,2.78489,218968
2048,4,CG,1,3826,9.84853e-09,29.1978,218968
2048,4,CG,2,3826,9.84853e-09,30.7274,218968
2048,4,CG,3,3826,9.84853e-09,29.5828,218968
2048,4,CG,4,3826,9.84853e-09,29.9753,218968
2048,4,CG,5,3826,9.84853e-09,30.8638,218968
2048,4,CG,6,3826,9.84853e-09,30.5879,218968
2048,4,CG,7,3826,9.84853e-09,29.6947,218968
2048,4,CG,8,3826,9.84853e-09,29.0626,218968
2048,4,CG,9,3826,9.84853e-09,29.6761,218968
2048,4,CG,10,3826,9.84853e-09,29.663,218968
