grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
512,16,CG,1,941,9.84818e-09,0.0897814,218970
512,16,CG,2,941,9.84818e-09,0.0939795,218970
512,16,CG,3,941,9.84818e-09,0.0895377,218970
512,16,CG,4,941,9.84818e-09,0.091753,218970
512,16,CG,5,941,9.84818e-09,0.091434,218970
512,16,CG,6,941,9.84818e-09,0.0915008,218970
512,16,CG,7,941,9.84818e-09,0.0936766,218970
512,16,CG,8,941,9.84818e-09,0.0913564,218970
512,16,CG,9,941,9.84818e-09,0.090865,218970
512,16,CG,10,941,9.84818e-09,0.0931544,218970
1024,16,CG,1,1898,9.95871e-09,0.699065,218970
1024,16,CG,2,1898,9.95871e-09,0.708099,218970
1024,16,CG,3,1898,9.95871e-09,0.697043,218970
1024,16,CG,4,1898,9.95871e-09,0.700258,218970
1024,16,CG,5,1898,9.95871e-09,0.69096,218970
1024,16,CG,6,1898,9.95871e-09,0.695398,218970
1024,16,CG,7,1898,9.95871e-09,0.699972,218970
1024,16,CG,8,1898,9.95871e-09,0.685492,218970
1024,16,CG,9,1898,9.95871e-09,0.68545,218970
1024,16,CG,10,1898,9.95871e-09,0.69948,218970
2048,16,CG,1,3826,9.84847e-09,7.46345,218970
2048,16,CG,2,3826,9.84847e-09,7.40235,218970
2048,16,CG,3,3826,9.84847e-09,7.42101,218970
2048,16,CG,4,3826,9.84847e-09,7.41776,218970
2048,16,CG,5,3826,9.84847e-09,7.42236,218970
2048,16,CG,6,3826,9.84847e-09,7.41103,218970
2048,16,CG,7,3826,9.84847e-09,7.37792,218970
2048,16,CG,8,3826,9.84847e-09,7.42843,218970
2048,16,CG,9,3826,9.84847e-09,7.35324,218970
2048,16,CG,10,3826,9.84847e-09,7.42314,218970
