grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
724,8,CG,1,1336,9.99247e-09,0.461116,218977
724,8,CG,2,1336,9.99247e-09,0.469961,218977
724,8,CG,3,1336,9.99247e-09,0.470258,218977
724,8,CG,4,1336,9.99247e-09,0.456767,218977
724,8,CG,5,1336,9.99247e-09,0.456167,218977
724,8,CG,6,1336,9.99247e-09,0.468611,218977
724,8,CG,7,1336,9.99247e-09,0.463245,218977
724,8,CG,8,1336,9.99247e-09,0.462591,218977
724,8,CG,9,1336,9.99247e-09,0.460792,218977
724,8,CG,10,1336,9.99247e-09,0.466981,218977
