grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
512,32,CG,1,941,9.84818e-09,0.0565085,218971
512,32,CG,2,941,9.84818e-09,0.0528579,218971
512,32,CG,3,941,9.84818e-09,0.0563763,218971
512,32,CG,4,941,9.84818e-09,0.0567753,218971
512,32,CG,5,941,9.84818e-09,0.0530472,218971
512,32,CG,6,941,9.84818e-09,0.0526179,218971
512,32,CG,7,941,9.84818e-09,0.0550252,218971
512,32,CG,8,941,9.84818e-09,0.0554074,218971
512,32,CG,9,941,9.84818e-09,0.0553395,218971
512,32,CG,10,941,9.84818e-09,0.0561647,218971
1024,32,CG,1,1898,9.95871e-09,0.378243,218971
1024,32,CG,2,1898,9.95871e-09,0.38107,218971
1024,32,CG,3,1898,9.95871e-09,0.377525,218971
1024,32,CG,4,1898,9.95871e-09,0.385187,218971
1024,32,CG,5,1898,9.95871e-09,0.374703,218971
1024,32,CG,6,1898,9.95871e-09,0.377877,218971
1024,32,CG,7,1898,9.95871e-09,0.37893,218971
1024,32,CG,8,1898,9.95871e-09,0.38444,218971
1024,32,CG,9,1898,9.95871e-09,0.379215,218971
1024,32,CG,10,1898,9.95871e-09,0.378818,218971
2048,32,CG,1,3826,9.84837e-09,3.42347,218971
2048,32,CG,2,3826,9.84837e-09,3.45429,218971
2048,32,CG,3,3826,9.84837e-09,3.43026,218971
2048,32,CG,4,3826,9.84837e-09,3.44486,218971
2048,32,CG,5,3826,9.84837e-09,3.45528,218971
2048,32,CG,6,3826,9.84837e-09,3.43613,218971
2048,32,CG,7,3826,9.84837e-09,3.43741,218971
2048,32,CG,8,3826,9.84837e-09,3.46583,218971
2048,32,CG,9,3826,9.84837e-09,3.46094,218971
2048,32,CG,10,3826,9.84837e-09,3.46276,218971
