grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
1448,32,CG,1,2694,9.96858e-09,1.00735,218979
1448,32,CG,2,2694,9.96858e-09,1.00096,218979
1448,32,CG,3,2694,9.96858e-09,1.00629,218979
1448,32,CG,4,2694,9.96858e-09,1.00607,218979
1448,32,CG,5,2694,9.96858e-09,1.01613,218979
1448,32,CG,6,2694,9.96858e-09,1.01957,218979
1448,32,CG,7,2694,9.96858e-09,1.06097,218979
1448,32,CG,8,2694,9.96858e-09,1.01829,218979
1448,32,CG,9,2694,9.96858e-09,1.00103,218979
1448,32,CG,10,2694,9.96858e-09,1.01981,218979
