grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
512,1,CG,1,941,9.84818e-09,1.36021,218966
512,1,CG,2,941,9.84818e-09,1.35641,218966
512,1,CG,3,941,9.84818e-09,1.36442,218966
512,1,CG,4,941,9.84818e-09,1.36204,218966
512,1,CG,5,941,9.84818e-09,1.36296,218966
512,1,CG,6,941,9.84818e-09,1.37359,218966
512,1,CG,7,941,9.84818e-09,1.36069,218966
512,1,CG,8,941,9.84818e-09,1.37348,218966
512,1,CG,9,941,9.84818e-09,1.35918,218966
512,1,CG,10,941,9.84818e-09,1.3546,218966
1024,1,CG,1,1898,9.95882e-09,10.9211,218966
1024,1,CG,2,1898,9.95882e-09,10.8172,218966
1024,1,CG,3,1898,9.95882e-09,10.8087,218966
1024,1,CG,4,1898,9.95882e-09,10.78,218966
1024,1,CG,5,1898,9.95882e-09,10.8254,218966
1024,1,CG,6,1898,9.95882e-09,11.2384,218966
1024,1,CG,7,1898,9.95882e-09,10.8077,218966
1024,1,CG,8,1898,9.95882e-09,10.811,218966
1024,1,CG,9,1898,9.95882e-09,10.8094,218966
1024,1,CG,10,1898,9.95882e-09,10.858,218966
2048,1,CG,1,3826,9.86302e-09,156.743,218966
2048,1,CG,2,3826,9.86302e-09,156.547,218966
2048,1,CG,3,3826,9.86302e-09,157.177,218966
2048,1,CG,4,3826,9.86302e-09,156.796,218966
2048,1,CG,5,3826,9.86302e-09,156.588,218966
2048,1,CG,6,3826,9.86302e-09,157.064,218966
2048,1,CG,7,3826,9.86302e-09,156.579,218966
2048,1,CG,8,3826,9.86302e-09,156.42,218966
2048,1,CG,9,3826,9.86302e-09,156.644,218966
2048,1,CG,10,3826,9.86302e-09,156.614,218966
