grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
256,1,CG,1,470,9.6476e-09,0.15311,218974
256,1,CG,2,470,9.6476e-09,0.153107,218974
256,1,CG,3,470,9.6476e-09,0.15481,218974
256,1,CG,4,470,9.6476e-09,0.155827,218974
256,1,CG,5,470,9.6476e-09,0.155381,218974
256,1,CG,6,470,9.6476e-09,0.153056,218974
256,1,CG,7,470,9.6476e-09,0.153287,218974
256,1,CG,8,470,9.6476e-09,0.153264,218974
256,1,CG,9,470,9.6476e-09,0.153836,218974
256,1,CG,10,470,9.6476e-09,0.154862,218974
