n,unknowns,processes,local_rows,local_unknowns,method,overlap,run_id,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time
2048,4194304,16,128,262144,AS1,1,2,1066,9.85554e-09,35.777,3.8536,1.86396,19.4292,17.9148,1.2259
2048,4194304,16,128,262144,AS2,2,2,1036,8.97052e-09,37.3955,4.04801,1.88884,19.3543,19.669,1.20709
2048,4194304,16,128,262144,BJ,0,3,1079,9.60647e-09,35.1667,4.45407,2.77976,13.2387,21.1513,1.13647
2048,4194304,16,128,262144,AS1,1,3,1066,9.85554e-09,33.1713,3.59145,1.41334,19.038,15.072,1.23871
2048,4194304,16,128,262144,AS2,2,3,1036,8.97052e-09,36.6087,3.90557,1.96333,19.6737,19.0231,1.17476
512,262144,32,16,8192,BJ,0,1,324,9.77187e-09,0.713537,0.222225,0.212941,0.135069,0.576051,0.00629147
512,262144,32,16,8192,AS1,1,1,295,7.55314e-09,0.180353,0.0213093,0.0125895,0.142203,0.0435152,0.0057459
512,262144,32,16,8192,AS2,2,1,294,8.03923e-09,0.172283,0.0130715,0.00319327,0.144146,0.0422985,0.00513937
512,262144,32,16,8192,BJ,0,2,324,9.77187e-09,0.254147,0.0553209,0.0460732,0.113849,0.12159,0.00582492
512,262144,32,16,8192,AS1,1,2,295,7.55314e-09,0.207135,0.0208908,0.0118634,0.145632,0.0757023,0.00576772
512,262144,32,16,8192,AS2,2,2,294,8.03923e-09,0.227892,0.0145243,0.00576811,0.19544,0.0983492,0.00569889
512,262144,32,16,8192,BJ,0,3,324,9.77187e-09,0.273498,0.0752095,0.0656722,0.146504,0.164908,0.00568224
512,262144,32,16,8192,AS1,1,3,295,7.55314e-09,0.157375,0.0116564,0.00294135,0.129222,0.0206081,0.00514263
512,262144,32,16,8192,AS2,2,3,294,8.03923e-09,0.184176,0.0131313,0.00326164,0.144859,0.0570148,0.00518841
1024,1048576,32,32,32768,BJ,0,1,596,8.20908e-09,1.8645,0.205803,0.145324,0.845967,0.928494,0.0401383
1024,1048576,32,32,32768,AS1,1,1,562,8.79959e-09,1.61987,0.14348,0.0773046,1.07255,0.555694,0.0420417
1024,1048576,32,32,32768,AS2,2,1,571,9.77984e-09,1.40126,0.0876297,0.022248,1.11111,0.334428,0.0420416
1024,1048576,32,32,32768,BJ,0,2,596,8.20908e-09,1.62694,0.203109,0.138634,0.871987,0.703163,0.0412675
1024,1048576,32,32,32768,AS1,1,2,562,8.79959e-09,1.2792,0.0797055,0.0237784,0.930475,0.318229,0.0401187
1024,1048576,32,32,32768,AS2,2,2,571,9.77984e-09,1.35993,0.0922403,0.0261468,1.03751,0.264586,0.0405501
1024,1048576,32,32,32768,BJ,0,3,596,8.20908e-09,2.44576,0.312352,0.233212,0.85648,1.44913,0.0582273
1024,1048576,32,32,32768,AS1,1,3,562,8.79959e-09,1.48748,0.100405,0.0420314,1.04053,0.49275,0.0390171
1024,1048576,32,32,32768,AS2,2,3,571,9.77984e-09,1.17311,0.0793749,0.0136197,0.992257,0.267364,0.0390867
