n,unknowns,processes,local_rows,local_unknowns,method,overlap,repeats,mean_iterations,std_iterations,mean_relative_residual,std_relative_residual,mean_total_time,std_total_time,mean_spmv_time,std_spmv_time,mean_halo_time,std_halo_time,mean_preconditioner_time,std_preconditioner_time,mean_reduction_time,std_reduction_time,mean_vector_time,std_vector_time
512,262144,1,512,262144,BJ,0,3,201.0,0.0,9.4415e-09,0.0,1.9306666666666668,0.00029569128044853587,0.13551433333333332,0.0011862690813358209,0.000174199,6.108891961722688e-06,1.5968566666666666,0.00043385865593920754,0.00017168066666666668,1.8338952650937655e-05,0.09602843333333333,0.0013234871980239715
512,262144,1,512,262144,AS1,1,3,201.0,0.0,9.4415e-09,0.0,2.2517133333333335,0.0010945470905051938,0.218324,0.00017677103835188205,0.00021282566666666668,1.1986361513542523e-05,1.83562,0.0012929037087115942,0.000212127,2.501077121961656e-05,0.09368436666666667,0.0012326515376753233
512,262144,1,512,262144,AS2,2,3,201.0,0.0,9.4415e-09,0.0,2.2521133333333334,0.001127933213152831,0.21789166666666668,0.0007748524590741955,0.000208722,1.676478893395321e-05,1.83552,0.0005505451843400978,0.00022977,2.768825678875432e-05,0.0940605,0.0011837445290264264
512,262144,4,128,65536,BJ,0,3,299.0,0.0,9.16747e-09,0.0,0.7195383333333333,0.0026972386496810457,0.05463573333333333,0.002635957139889291,0.0026097233333333336,0.0002840074844671058,0.5968256666666667,0.0002061124288667326,0.0068764433333333335,0.002271490549668506,0.031139833333333332,0.00037778147563549604
512,262144,4,128,65536,AS1,1,3,288.0,0.0,8.47553e-09,0.0,0.8175416666666667,0.001155122648610691,0.07570846666666667,0.0002759743526730992,0.003716993333333333,0.00013543894467003695,0.6746913333333333,0.0007412977359558652,0.00809437,0.00012292859878807678,0.030177933333333334,0.00021619325459720779
512,262144,4,128,65536,AS2,2,3,292.0,0.0,8.75927e-09,0.0,0.8400353333333334,0.001770609593708706,0.07632943333333334,0.0006618515870898342,0.0034321966666666665,0.0003613802255704279,0.6960149999999999,0.0010465099139520563,0.00721239,0.0008233850623493236,0.030908333333333333,0.00025437166377828465
512,262144,16,32,16384,BJ,0,3,309.0,0.0,9.99903e-09,0.0,0.193245,0.0006294211626566003,0.016566166666666667,0.00046911109913679505,0.003502666666666667,0.0006863408396222195,0.15545066666666668,0.0002221583519324249,0.007210523333333333,0.0004190977144215097,0.008707893333333333,0.000788045209384165
512,262144,16,32,16384,AS1,1,3,291.0,0.0,8.90873e-09,0.0,0.20549399999999998,0.001290586300872593,0.015799866666666666,0.0013461816568848847,0.0023457733333333334,0.0007399894753530845,0.16989766666666667,0.000390821357314745,0.009122546666666667,0.0017978584200468435,0.00721946,0.00015666418607965276
512,262144,16,32,16384,AS2,2,3,289.0,0.0,8.49987e-09,0.0,0.21289766666666668,0.0016756492274140502,0.015611333333333333,0.00021419991441019124,0.00244471,0.00055562979194784,0.17892433333333332,0.0009478445723499822,0.007565993333333333,0.0015423938026760007,0.00729382,0.0002716224256205659
512,262144,32,16,8192,BJ,0,3,324.0,0.0,9.77187e-09,0.0,0.15046533333333334,0.002768235238077379,0.015603433333333333,0.0008154527842452517,0.005183933333333333,0.000221584395058256,0.114492,8.626123115281573e-05,0.012209466666666667,0.0023382216839584165,0.0063379533333333335,2.0994076148602834e-05
512,262144,32,16,8192,AS1,1,3,295.0,0.0,7.55314e-09,0.0,0.16027566666666668,0.003727024595214447,0.014328966666666667,0.0006607582790501633,0.00342708,0.0004415408523568345,0.129913,0.0005600241066239947,0.01070838,0.003193490600330616,0.005443276666666667,0.0004701121740960696
512,262144,32,16,8192,AS2,2,3,294.0,0.0,8.03923e-09,0.0,0.178111,0.006011175675356696,0.013990033333333334,0.0011117578393397248,0.00395012,0.0002002514112309825,0.14444233333333334,0.000661997985898238,0.01470108,0.005472560654318964,0.005801523333333333,0.0002150405378837522
1024,1048576,1,1024,1048576,BJ,0,3,383.0,0.0,9.32925e-09,0.0,23.417666666666666,0.6831230147882096,2.3589533333333335,0.18124339776481077,0.0012818566666666666,8.563814356543074e-05,18.3117,0.42847101418882444,0.0011184533333333333,4.3315212493226067e-05,1.4402733333333333,0.06690128723225976
1024,1048576,1,1024,1048576,AS1,1,3,383.0,0.0,9.32925e-09,0.0,26.835133333333335,0.7986086797257684,2.4515366666666667,0.093492558170869,0.0014711933333333334,3.4248890979611855e-05,21.2238,0.8171196424025047,0.0012964366666666667,7.291882153006404e-05,1.5692666666666666,0.08538546090133463
1024,1048576,1,1024,1048576,AS2,2,3,383.0,0.0,9.32925e-09,0.0,26.715366666666668,0.9169013378403014,2.38243,0.03006010146356803,0.005131993333333334,0.006354689712813155,21.236933333333333,0.8566479226224346,0.0012662666666666666,8.414809405645104e-05,1.5250933333333334,0.0562601780421404
1024,1048576,4,256,262144,BJ,0,3,577.0,0.0,9.65072e-09,0.0,5.63979,0.0023503829475219587,0.40918366666666667,0.0008475684829754657,0.014472333333333334,0.0037027293127277526,4.652550000000001,0.0010219589032833265,0.04095303333333333,0.002870395682363902,0.28950766666666666,0.0021950162489907466
1024,1048576,4,256,262144,AS1,1,3,553.0,0.0,9.99784e-09,0.0,6.817116666666667,0.017978969195516847,0.7033646666666666,0.007432485542087028,0.03832513333333333,0.008566478803063328,5.50399,0.019485951349626256,0.1055514,0.031261267519408095,0.32936533333333334,0.003861523576690094
1024,1048576,4,256,262144,AS2,2,3,578.0,0.0,9.9035e-09,0.0,7.186283333333334,0.022147192448103366,0.7339986666666667,0.0029771290421030127,0.0377964,0.008111739772083421,5.810046666666667,0.014230802273004146,0.09824513333333333,0.03242426031867702,0.34402133333333335,0.001038087343788246
1024,1048576,16,64,65536,BJ,0,3,571.0,0.0,9.18973e-09,0.0,2.2108533333333336,0.3004330015716206,0.19012933333333334,0.04003846112593906,0.039591553333333335,0.026643895899934253,1.6276733333333333,0.03894410396110464,0.3957586666666667,0.3050300417243084,0.07968663333333334,0.001271726799801491
1024,1048576,16,64,65536,AS1,1,3,556.0,0.0,9.88594e-09,0.0,2.5384966666666666,0.2065768729391878,0.21354733333333334,0.013707020731484049,0.022423433333333333,0.009440800950307835,1.9881333333333333,0.07264816056400417,0.35710766666666666,0.18901772782025855,0.0862743,0.011191780829251437
1024,1048576,16,64,65536,AS2,2,3,551.0,0.0,9.87306e-09,0.0,2.5487033333333335,0.15602831228124378,0.22545933333333334,0.019252409130634352,0.030287133333333334,0.014970512550455088,2.0135433333333332,0.0365326598173926,0.3179593333333333,0.145424214937999,0.0805538,0.0017302579114108919
1024,1048576,32,32,32768,BJ,0,3,596.0,0.0,8.20908e-09,0.0,1.0413933333333334,0.0059884583436250844,0.08425590000000001,0.0022406653721606887,0.011202306666666667,0.002790047373098409,0.8396376666666666,0.0011426777031750106,0.04471786666666667,0.006538252929746092,0.0437419,0.0043133642693378
1024,1048576,32,32,32768,AS1,1,3,562.0,0.0,8.79959e-09,0.0,1.1024033333333334,0.0014005118112081463,0.07947656666666666,0.0032711584879570356,0.00974217,0.0008224724084733791,0.9180896666666667,0.0015452172447048538,0.04429023333333333,0.002207033607205231,0.040687933333333336,0.0011660782578083394
1024,1048576,32,32,32768,AS2,2,3,571.0,0.0,9.77984e-09,0.0,1.1783366666666666,0.004202193871459666,0.0822179,0.0038905084706243767,0.008462596666666667,0.0010594036969131893,0.990572,0.0006336615816033337,0.045127733333333336,0.002384080569807433,0.041404833333333335,0.0010115418940080212
2048,4194304,1,2048,4194304,BJ,0,3,764.0,0.0,9.63899e-09,0.0,206.706,1.3590158203641354,22.711466666666666,0.3155148385311434,0.0044438766666666666,0.00013599342202229225,153.20166666666668,1.5793449063878784,0.00312965,5.724264494238544e-05,15.2423,0.24095534856068312
2048,4194304,1,2048,4194304,AS1,1,3,764.0,0.0,9.63899e-09,0.0,238.27033333333333,2.7076119244332926,22.6206,0.39110109946150684,0.00465827,6.941250823878948e-05,184.477,2.2487723317401405,0.0039072333333333336,0.00046722815169179756,15.4078,0.18097148946726366
2048,4194304,1,2048,4194304,AS2,2,3,764.0,0.0,9.63899e-09,0.0,239.52466666666666,3.0384457101178097,22.959533333333333,0.6634135989963829,0.011877083333333333,0.0063715747269284485,185.416,2.180663201872313,0.007251199999999999,0.006426831918729476,15.4409,0.10075102977141275
2048,4194304,4,512,1048576,BJ,0,3,1146.0,0.0,9.85032e-09,0.0,274.3546666666667,13.179241568972538,29.906066666666668,1.0728775994181865,22.800366666666665,1.424625973135873,202.605,10.424518837816931,209.439,13.03208505957508,17.0889,1.2411189185569602
2048,4194304,4,512,1048576,AS1,1,3,1069.0,0.0,8.42689e-09,0.0,311.77233333333334,5.41908630059841,32.1895,1.390881630477589,22.545633333333335,0.8867881501989824,235.829,2.7905925893974555,239.09133333333332,4.79083472198044,16.85643333333333,0.35759765565972745
2048,4194304,4,512,1048576,AS2,2,3,1115.0,0.0,9.20774e-09,0.0,319.4053333333333,12.532864889295405,32.81453333333333,2.933470624249259,23.359666666666666,1.4001897204783833,242.52233333333334,9.556636559654928,242.83666666666667,11.45640180568634,16.386766666666666,0.3208482870973973
2048,4194304,16,128,262144,BJ,0,3,1079.0,0.0,9.60647e-09,0.0,13.141399999999999,0.009634832639958174,1.8314833333333334,0.016915833805442038,0.08249753333333333,0.005910400190624435,9.064356666666667,0.008865248633474666,0.2760533333333333,0.01039265848247374,1.4193333333333333,0.013926673448219217
2048,4194304,16,128,262144,AS1,1,3,1066.0,0.0,9.85555e-09,0.0,17.409966666666666,0.0715286189810305,2.15848,0.02066138669112022,0.11459353333333333,0.01698607013565332,12.729633333333334,0.07282131098334753,0.671813,0.26987282318343947,1.45942,0.011927485066014444
2048,4194304,16,128,262144,AS2,2,3,1036.0,0.0,8.97052e-09,0.0,17.088866666666668,0.10062078976699382,2.12359,0.038600470204389975,0.27000833333333335,0.267477467305815,12.519033333333333,0.08892189456671172,0.8193813333333333,0.28728994768584115,1.4223566666666667,0.007101565555096475
2048,4194304,32,64,131072,BJ,0,3,1102.0,0.0,9.235e-09,0.0,10.459166666666667,1.5255005222330578,0.8002353333333333,0.10631479130080315,0.28353333333333336,0.09656108951504914,6.186303333333333,0.061880533557277274,3.31383,1.259304585515355,0.44195066666666666,0.008392654188832829
2048,4194304,32,64,131072,AS1,1,3,1072.0,0.0,9.48762e-09,0.0,12.546633333333332,1.979008247414177,1.1247179999999999,0.17006014574849693,0.38127833333333333,0.14330592508802045,7.922016666666666,0.5331726768443156,4.120383333333333,1.295057501516181,0.536425,0.021545696484449043
2048,4194304,32,64,131072,AS2,2,3,1101.0,0.0,9.99226e-09,0.0,13.2995,1.477518419512934,1.13221,0.11001825984808153,0.35911,0.0833623169783566,8.429359999999999,0.30730713610328003,4.423526666666667,0.7264292286474527,0.5493853333333333,0.016901042019157694
