n,processes,method,repeats,mean_total_time,std_total_time,cv_total_time,min_total_time,max_total_time,iterations_consistent,residual_ok,component_times_ok,status
512,1,BJ,3,1.9306666666666668,0.00029569128044853587,0.00015315501404447644,1.93036,1.93095,True,True,True,STABLE
512,1,AS1,3,2.2517133333333335,0.0010945470905051938,0.0004860952210487986,2.25049,2.2526,True,True,True,STABLE
512,1,AS2,3,2.2521133333333334,0.001127933213152831,0.0005008332380339788,2.2509,2.25313,True,True,True,STABLE
512,4,BJ,3,0.7195383333333333,0.0026972386496810457,0.0037485683871571066,0.717919,0.722652,True,True,True,STABLE
512,4,AS1,3,0.8175416666666667,0.001155122648610691,0.0014129220512031284,0.81655,0.81881,True,True,True,STABLE
512,4,AS2,3,0.8400353333333334,0.001770609593708706,0.002107779903355699,0.838137,0.841642,True,True,True,STABLE
512,16,BJ,3,0.193245,0.0006294211626566003,0.0032571148679479433,0.192759,0.193956,True,True,True,STABLE
512,16,AS1,3,0.20549399999999998,0.001290586300872593,0.006280408677978885,0.20461,0.206975,True,True,True,STABLE
512,16,AS2,3,0.21289766666666668,0.0016756492274140502,0.007870679156092443,0.210965,0.213944,True,True,True,STABLE
512,32,BJ,3,0.15046533333333334,0.002768235238077379,0.018397827438063556,0.148316,0.153589,True,True,True,STABLE
512,32,AS1,3,0.16027566666666668,0.003727024595214447,0.023253839292808724,0.157799,0.164562,True,True,True,STABLE
512,32,AS2,3,0.178111,0.006011175675356696,0.03374960376033314,0.17117,0.181615,True,True,True,STABLE
1024,1,BJ,3,23.417666666666666,0.6831230147882096,0.029171267338969565,22.9772,24.2046,True,True,True,STABLE
1024,1,AS1,3,26.835133333333335,0.7986086797257684,0.0297598178405089,25.921,27.3973,True,True,True,STABLE
1024,1,AS2,3,26.715366666666668,0.9169013378403014,0.03432112122138075,26.1028,27.7695,True,True,True,STABLE
1024,4,BJ,3,5.63979,0.0023503829475219587,0.000416750082453772,5.63761,5.64228,True,True,True,STABLE
1024,4,AS1,3,6.817116666666667,0.017978969195516847,0.0026373274911705357,6.79655,6.82985,True,True,True,STABLE
1024,4,AS2,3,7.186283333333334,0.022147192448103366,0.0030818701992133203,7.16159,7.20439,True,True,True,STABLE
1024,16,BJ,3,2.2108533333333336,0.3004330015716206,0.13589006427606562,1.94823,2.53846,True,True,True,MODERATE_VARIATION
1024,16,AS1,3,2.5384966666666666,0.2065768729391878,0.08137764199251307,2.30248,2.68644,True,True,True,STABLE
1024,16,AS2,3,2.5487033333333335,0.15602831228124378,0.061218702954016005,2.36857,2.64174,True,True,True,STABLE
1024,32,BJ,3,1.0413933333333334,0.0059884583436250844,0.005750428922429326,1.03577,1.04769,True,True,True,STABLE
1024,32,AS1,3,1.1024033333333334,0.0014005118112081463,0.0012704168872325733,1.10082,1.10348,True,True,True,STABLE
1024,32,AS2,3,1.1783366666666666,0.004202193871459666,0.003566208190183054,1.17373,1.18196,True,True,True,STABLE
2048,1,BJ,3,206.706,1.3590158203641354,0.006574631700889841,205.184,207.798,True,True,True,STABLE
2048,1,AS1,3,238.27033333333333,2.7076119244332926,0.011363613281412678,235.965,241.252,True,True,True,STABLE
2048,1,AS2,3,239.52466666666666,3.0384457101178097,0.012685314428790118,236.855,242.831,True,True,True,STABLE
2048,4,BJ,3,274.3546666666667,13.179241568972538,0.048037242191272624,259.143,282.343,True,True,True,STABLE
2048,4,AS1,3,311.77233333333334,5.41908630059841,0.01738154967972915,305.745,316.242,True,True,True,STABLE
2048,4,AS2,3,319.4053333333333,12.532864889295405,0.039238120285912795,305.565,329.987,True,True,True,STABLE
2048,16,BJ,3,13.141399999999999,0.009634832639958174,0.0007331663780082925,13.1352,13.1525,True,True,True,STABLE
2048,16,AS1,3,17.409966666666666,0.0715286189810305,0.004108486842653183,17.3357,17.4784,True,True,True,STABLE
2048,16,AS2,3,17.088866666666668,0.10062078976699382,0.0058880902829713975,16.9731,17.1553,True,True,True,STABLE
2048,32,BJ,3,10.459166666666667,1.5255005222330578,0.14585297001670539,8.8619,11.901,True,True,True,MODERATE_VARIATION
2048,32,AS1,3,12.546633333333332,1.979008247414177,0.1577322134820372,10.8208,14.7067,True,True,True,MODERATE_VARIATION
2048,32,AS2,3,13.2995,1.477518419512934,0.11109578702304101,11.8329,14.7877,True,True,True,MODERATE_VARIATION
