scaling,n,unknowns,processes,method,overlap,iterations,relative_residual,runtime,run_id,job_id
strong,512,262144,32,BJ,0,324,9.77187e-09,0.115969,5,211487
strong,1024,1048576,1,AS,1,383,9.32925e-09,22.0883,1,211483
strong,1024,1048576,1,AS,1,383,9.32925e-09,22.4293,2,211483
strong,1024,1048576,1,AS,1,383,9.32925e-09,22.1512,3,211483
strong,1024,1048576,1,AS,1,383,9.32925e-09,22.4578,4,211483
strong,1024,1048576,1,AS,1,383,9.32925e-09,21.31,5,211483
strong,1024,1048576,1,AS,2,383,9.32925e-09,21.903,1,211483
strong,1024,1048576,1,AS,2,383,9.32925e-09,22.6423,2,211483
strong,1024,1048576,1,AS,2,383,9.32925e-09,22.5358,3,211483
strong,1024,1048576,1,AS,2,383,9.32925e-09,21.8645,4,211483
strong,1024,1048576,1,AS,2,383,9.32925e-09,21.7683,5,211483
strong,1024,1048576,1,BJ,0,383,9.32925e-09,19.7354,1,211483
strong,1024,1048576,1,BJ,0,383,9.32925e-09,18.5383,2,211483
strong,1024,1048576,1,BJ,0,383,9.32925e-09,19.1575,3,211483
strong,1024,1048576,1,BJ,0,383,9.32925e-09,18.9153,4,211483
strong,1024,1048576,1,BJ,0,383,9.32925e-09,18.9374,5,211483
strong,1024,1048576,2,AS,1,618,7.69727e-09,19.6242,1,211484
strong,1024,1048576,2,AS,1,618,7.69727e-09,19.8004,2,211484
strong,1024,1048576,2,AS,1,618,7.69727e-09,19.834,3,211484
strong,1024,1048576,2,AS,1,618,7.69727e-09,19.6857,4,211484
strong,1024,1048576,2,AS,1,618,7.69727e-09,19.6606,5,211484
strong,1024,1048576,2,AS,2,583,9.14869e-09,18.4474,1,211484
strong,1024,1048576,2,AS,2,583,9.14869e-09,18.4587,2,211484
strong,1024,1048576,2,AS,2,583,9.14869e-09,18.728,3,211484
strong,1024,1048576,2,AS,2,583,9.14869e-09,18.6747,4,211484
strong,1024,1048576,2,AS,2,583,9.14869e-09,18.2054,5,211484
strong,1024,1048576,2,BJ,0,628,8.39677e-09,17.0314,1,211484
strong,1024,1048576,2,BJ,0,628,8.39677e-09,17.1248,2,211484
strong,1024,1048576,2,BJ,0,628,8.39677e-09,17.0738,3,211484
strong,1024,1048576,2,BJ,0,628,8.39677e-09,17.2918,4,211484
strong,1024,1048576,2,BJ,0,628,8.39677e-09,17.0885,5,211484
strong,1024,1048576,4,AS,1,553,9.99784e-09,9.84192,1,211478
strong,1024,1048576,4,AS,1,553,9.99784e-09,9.24783,2,211478
strong,1024,1048576,4,AS,1,553,9.99784e-09,8.53654,3,211478
strong,1024,1048576,4,AS,1,553,9.99784e-09,9.60771,4,211478
strong,1024,1048576,4,AS,1,553,9.99784e-09,10.1488,5,211478
strong,1024,1048576,4,AS,2,578,9.9035e-09,10.1055,1,211478
strong,1024,1048576,4,AS,2,578,9.9035e-09,10.5768,2,211478
strong,1024,1048576,4,AS,2,578,9.9035e-09,9.8666,3,211478
strong,1024,1048576,4,AS,2,578,9.9035e-09,7.79979,4,211478
strong,1024,1048576,4,AS,2,578,9.9035e-09,9.6399,5,211478
strong,1024,1048576,4,BJ,0,577,9.65072e-09,7.9914,1,211478
strong,1024,1048576,4,BJ,0,577,9.65072e-09,8.36989,2,211478
strong,1024,1048576,4,BJ,0,577,9.65072e-09,8.65101,3,211478
strong,1024,1048576,4,BJ,0,577,9.65072e-09,8.56175,4,211478
strong,1024,1048576,4,BJ,0,577,9.65072e-09,8.49232,5,211478
strong,1024,1048576,8,AS,1,538,9.82574e-09,3.11098,1,211485
strong,1024,1048576,8,AS,1,538,9.82574e-09,3.11344,2,211485
strong,1024,1048576,8,AS,1,538,9.82574e-09,3.11013,3,211485
strong,1024,1048576,8,AS,1,538,9.82574e-09,3.11031,4,211485
strong,1024,1048576,8,AS,1,538,9.82574e-09,3.1098,5,211485
strong,1024,1048576,8,AS,2,572,9.5219e-09,3.35439,1,211485
strong,1024,1048576,8,AS,2,572,9.5219e-09,3.3576,2,211485
strong,1024,1048576,8,AS,2,572,9.5219e-09,3.35207,3,211485
strong,1024,1048576,8,AS,2,572,9.5219e-09,3.34961,4,211485
strong,1024,1048576,8,AS,2,572,9.5219e-09,3.35082,5,211485
strong,1024,1048576,8,BJ,0,579,8.96287e-09,2.81778,1,211485
strong,1024,1048576,8,BJ,0,579,8.96287e-09,2.8163,2,211485
strong,1024,1048576,8,BJ,0,579,8.96287e-09,2.82533,3,211485
strong,1024,1048576,8,BJ,0,579,8.96287e-09,2.82023,4,211485
strong,1024,1048576,8,BJ,0,579,8.96287e-09,2.81523,5,211485
strong,1024,1048576,16,AS,1,556,9.88594e-09,1.6429,1,211486
strong,1024,1048576,16,AS,1,556,9.88594e-09,1.6475,2,211486
strong,1024,1048576,16,AS,1,556,9.88594e-09,1.64598,3,211486
strong,1024,1048576,16,AS,1,556,9.88594e-09,1.64671,4,211486
strong,1024,1048576,16,AS,1,556,9.88594e-09,1.64723,5,211486
strong,1024,1048576,16,AS,2,551,9.87306e-09,1.68001,1,211486
strong,1024,1048576,16,AS,2,551,9.87306e-09,1.6683,2,211486
strong,1024,1048576,16,AS,2,551,9.87306e-09,1.67012,3,211486
strong,1024,1048576,16,AS,2,551,9.87306e-09,1.67328,4,211486
strong,1024,1048576,16,AS,2,551,9.87306e-09,1.66839,5,211486
