scaling,grid_size,processes,method,repeats,mean_total_time,std_total_time,cv_total_time,min_total_time,max_total_time,status
strong,2048,16,AS1,5,14.889619999999999,0.031162888184505484,0.0020929270313483814,14.8559,14.9483,PASS
strong,2048,16,AS2,5,14.63876,0.026736686406509072,0.0018264310916026407,14.6032,14.679,PASS
strong,2048,32,BJ,5,10.526616,1.1025336385906777,0.10473770854666661,8.8619,11.901,PASS
strong,2048,32,AS1,5,12.6502,1.7822358934776283,0.140885985476722,10.8095,14.8016,PASS
strong,2048,32,AS2,5,13.36954,1.0905446228375981,0.0815693451560486,11.8329,14.7877,PASS
strong,2048,64,BJ,5,4.174404,0.2540312052169969,0.060854484907784896,4.03825,4.68222,PASS
strong,2048,64,AS1,5,5.62683,0.012987250671331422,0.002308093663986902,5.60782,5.64236,PASS
strong,2048,64,AS2,5,6.1099,0.04095849801933653,0.006703628213119124,6.08029,6.18859,PASS
strong,2048,128,BJ,5,2.267382,0.05439278753658429,0.02398924730662248,2.22623,2.36794,PASS
strong,2048,128,AS1,5,2.358342,0.013725301308168089,0.005819894361448886,2.34319,2.38252,PASS
strong,2048,128,AS2,5,2.568028,0.02396236999964739,0.009331039225291698,2.54796,2.61367,PASS
weak,256,1,BJ,5,0.3203778,0.004457216368990845,0.013912375854353344,0.313166,0.325074,PASS
weak,256,1,AS1,5,0.36770420000000004,0.002823933951068975,0.00767990670508788,0.364024,0.371199,PASS
weak,256,1,AS2,5,0.36984659999999997,0.006460531018422549,0.017468136839496565,0.358458,0.376507,PASS
weak,362,2,BJ,5,0.7964551999999999,0.009064177478403636,0.01138064950596548,0.785376,0.809985,PASS
weak,362,2,AS1,5,0.9165485999999999,0.013561375632287436,0.014796133704516528,0.9021,0.941641,PASS
weak,362,2,AS2,5,0.9114348,0.016295601779621385,0.017879064722590564,0.894168,0.940024,PASS
weak,512,4,BJ,5,0.7148566,0.0003780484625018446,0.0005288451732862852,0.714205,0.715288,PASS
weak,512,4,AS1,5,0.8078412,0.00356270713924115,0.004410157762739942,0.80553,0.814923,PASS
weak,512,4,AS2,5,0.8285627999999999,0.000684221133844893,0.0008257927266887834,0.827433,0.829463,PASS
weak,724,8,BJ,5,1.114312,0.0013862957837344628,0.0012440822532059808,1.11229,1.11597,PASS
weak,724,8,AS1,5,1.2975619999999999,0.002523825667513467,0.0019450520803733983,1.29383,1.30097,PASS
weak,724,8,AS2,5,1.3060399999999999,0.0017768849146751315,0.00136051339520622,1.30338,1.30817,PASS
weak,1024,16,BJ,5,1.394858,0.0037839101469247525,0.002712756529284524,1.39025,1.40028,PASS
weak,1024,16,AS1,5,1.6450020000000003,0.0022611448427732263,0.0013745544642336154,1.64199,1.64816,PASS
weak,1024,16,AS2,5,1.6710439999999998,0.001977681470813769,0.0011835005366787285,1.66844,1.67321,PASS
weak,1448,32,BJ,5,4.793362,0.7480485896089906,0.1560592731383506,4.0508,6.07656,PASS
weak,1448,32,AS1,5,5.679602,0.6825864775220793,0.12018209683039047,4.59373,6.44261,PASS
weak,1448,32,AS2,5,6.070966,0.8106515589968356,0.13352925366355792,5.05354,7.08389,PASS
weak,2048,64,BJ,5,13.92766,0.8520227194153925,0.06117486493893393,12.623,15.2741,PASS
weak,2048,64,AS1,5,16.487180000000002,1.6909596309788113,0.10256208951311328,14.106,19.0982,PASS
weak,2048,64,AS2,5,16.60606,2.1665892888131792,0.13046979770115122,14.3137,19.665,PASS
weak,2896,128,BJ,5,7.794988000000001,0.09393033831515783,0.012050094023898153,7.7263,7.98052,PASS
weak,2896,128,AS1,5,10.35894,0.050890337000259835,0.0049126973416449785,10.2981,10.4144,PASS
weak,2896,128,AS2,5,11.18242,0.026645479916864286,0.0023828008532021053,11.149,11.2195,PASS
