scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id,source_file,time_per_iteration,preconditioner_time_per_iteration,reduction_time_per_iteration
strong,512,262144,1,262144,AS1,1,4,4,201,9.4415e-09,3.01174,0.321906,0.000348065,2.40193,0.000265238,0.130681,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.014983781094527363,0.011949900497512439,1.319592039800995e-06
strong,512,262144,1,262144,AS2,2,4,4,201,9.4415e-09,2.93795,0.275541,0.000352215,2.40572,0.000306549,0.127247,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.014616666666666667,0.011968756218905472,1.5251194029850746e-06
strong,512,262144,1,262144,BJ,0,4,5,201,9.4415e-09,2.53408,0.174417,0.000250233,2.11021,0.000256338,0.122149,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.012607363184079602,0.010498557213930348,1.2753134328358209e-06
strong,512,262144,1,262144,AS1,1,4,5,201,9.4415e-09,3.19892,0.300195,0.000314829,2.62005,0.000313798,0.147863,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.01591502487562189,0.013035074626865671,1.56118407960199e-06
strong,512,262144,1,262144,AS2,2,4,5,201,9.4415e-09,3.40677,0.36903,0.000360838,2.75876,0.000329387,0.137323,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.01694910447761194,0.013725174129353234,1.6387412935323382e-06
strong,1024,1048576,1,1048576,BJ,0,4,1,383,9.32925e-09,24.2046,2.56477,0.00136933,18.7426,0.00116169,1.50097,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.06319738903394255,0.048936292428198434,3.0331331592689295e-06
strong,1024,1048576,1,1048576,AS1,1,4,1,383,9.32925e-09,27.1871,2.51673,0.00143298,21.6333,0.00127219,1.4944,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.0709845953002611,0.05648381201044386,3.321644908616188e-06
strong,1024,1048576,1,1048576,AS2,2,4,1,383,9.32925e-09,26.1028,2.35376,0.00148818,20.6292,0.00124662,1.52315,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.06815352480417754,0.0538621409921671,3.254882506527415e-06
strong,1024,1048576,1,1048576,BJ,0,4,2,383,9.32925e-09,23.0712,2.2232,0.00119818,18.3068,0.00107506,1.36854,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.060238120104438644,0.047798433420365535,2.806945169712794e-06
strong,1024,1048576,1,1048576,AS1,1,4,2,383,9.32925e-09,25.921,2.34442,0.00148148,20.2829,0.00123873,1.66226,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.06767885117493472,0.0529579634464752,3.2342819843342036e-06
strong,1024,1048576,1,1048576,AS2,2,4,2,383,9.32925e-09,26.2738,2.37982,0.0124697,20.8649,0.00119368,1.46983,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.06860000000000001,0.054477545691906,3.116657963446475e-06
strong,1024,1048576,1,1048576,BJ,0,4,3,383,9.32925e-09,22.9772,2.28889,0.00127806,17.8857,0.00111861,1.45131,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.05999268929503916,0.04669895561357702,2.92065274151436e-06
strong,1024,1048576,1,1048576,AS1,1,4,3,383,9.32925e-09,27.3973,2.49346,0.00149912,21.7552,0.00137839,1.55114,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.07153342036553526,0.05680208877284595,3.598929503916449e-06
strong,1024,1048576,1,1048576,AS2,2,4,3,383,9.32925e-09,27.7695,2.41371,0.0014381,22.2167,0.0013585,1.5823,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.07250522193211488,0.05800704960835509,3.546997389033942e-06
strong,1024,1048576,1,1048576,BJ,0,4,4,383,9.32925e-09,23.0407,2.24463,0.00138773,18.1168,0.0009897,1.40211,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.06015848563968669,0.0473023498694517,2.5840731070496085e-06
strong,1024,1048576,1,1048576,AS1,1,4,4,383,9.32925e-09,27.467,2.41329,0.00152107,21.9678,0.00122495,1.56498,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.0717154046997389,0.057357180156657965,3.1983028720626633e-06
strong,1024,1048576,1,1048576,AS2,2,4,4,383,9.32925e-09,27.8292,2.45262,0.00148026,22.3126,0.00130303,1.53472,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.07266109660574413,0.05825744125326371,3.402167101827676e-06
strong,1024,1048576,1,1048576,BJ,0,4,5,383,9.32925e-09,22.0179,2.21008,0.00140536,17.3001,0.00102742,1.37543,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.05748798955613577,0.04516997389033943,2.6825587467362923e-06
strong,1024,1048576,1,1048576,AS1,1,4,5,383,9.32925e-09,26.9302,2.40094,0.00142221,21.401,0.00135904,1.53779,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.07031383812010443,0.05587728459530026,3.5484073107049608e-06
strong,1024,1048576,1,1048576,AS2,2,4,5,383,9.32925e-09,26.9304,2.34513,0.00140391,21.5316,0.00111309,1.54979,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.07031436031331592,0.05621827676240209,2.9062402088772843e-06
strong,2048,4194304,1,4194304,BJ,0,4,1,764,9.63899e-09,207.136,22.5554,0.00447366,153.738,0.00314805,15.1317,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.2711204188481675,0.20122774869109947,4.120484293193717e-06
strong,2048,4194304,1,4194304,AS1,1,4,1,764,9.63899e-09,237.594,22.5248,0.00464241,184.085,0.00392922,15.1996,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.3109869109947644,0.24094895287958115,5.142958115183246e-06
strong,2048,4194304,1,4194304,AS2,2,4,1,764,9.63899e-09,236.855,22.4635,0.0155383,183.518,0.00385734,15.3477,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.3100196335078534,0.2402068062827225,5.048874345549738e-06
strong,2048,4194304,1,4194304,BJ,0,4,2,764,9.63899e-09,207.798,23.0746,0.00429546,154.443,0.00306547,15.0765,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.2719869109947644,0.20215052356020943,4.012395287958115e-06
strong,2048,4194304,1,4194304,AS1,1,4,2,764,9.63899e-09,241.252,23.0507,0.00459816,186.896,0.0034294,15.4964,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.3157748691099477,0.24462827225130887,4.4887434554973825e-06
strong,2048,4194304,1,4194304,AS2,2,4,2,764,9.63899e-09,238.888,22.702,0.0155731,184.932,0.0146635,15.5478,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.3126806282722513,0.24205759162303664,1.919306282722513e-05
strong,2048,4194304,1,4194304,BJ,0,4,3,764,9.63899e-09,205.184,22.5044,0.00456251,151.424,0.00317543,15.5187,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.268565445026178,0.19819895287958117,4.156321989528795e-06
strong,2048,4194304,1,4194304,AS1,1,4,3,764,9.63899e-09,235.965,22.2863,0.00473424,182.45,0.00436308,15.5274,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.3088547120418848,0.23880890052356019,5.710837696335079e-06
strong,2048,4194304,1,4194304,AS2,2,4,3,764,9.63899e-09,242.831,23.7131,0.00451985,187.798,0.00323276,15.4272,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.3178416230366492,0.24580890052356022,4.231361256544502e-06
strong,2048,4194304,1,4194304,BJ,0,4,4,764,9.63899e-09,209.468,23.4933,0.00444059,154.121,0.00315196,15.9511,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.27417277486910996,0.20172905759162305,4.125602094240838e-06
strong,2048,4194304,1,4194304,AS1,1,4,4,764,9.63899e-09,243.408,23.1239,0.00455326,187.911,0.00349594,16.2041,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.31859685863874343,0.2459568062827225,4.5758376963350784e-06
strong,2048,4194304,1,4194304,AS2,2,4,4,764,9.63899e-09,243.837,23.6006,0.00467539,188.279,0.0035132,16.0423,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.31915837696335075,0.24643848167539267,4.598429319371728e-06
strong,2048,4194304,1,4194304,BJ,0,4,5,764,9.63899e-09,212.107,23.559,0.0139032,156.774,0.00269736,15.6247,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.27762696335078535,0.20520157068062828,3.5305759162303667e-06
strong,2048,4194304,1,4194304,AS1,1,4,5,764,9.63899e-09,240.83,22.8753,0.00458008,185.407,0.00378668,16.2911,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.31522251308900523,0.24267931937172776,4.956387434554974e-06
strong,2048,4194304,1,4194304,AS2,2,4,5,764,9.63899e-09,241.495,22.9438,0.00464971,186.569,0.00358293,15.8956,212466,results/phase5/raw/timing_strong_p1_212466.csv,0.3160929319371728,0.2442002617801047,4.689698952879581e-06
strong,512,262144,2,131072,BJ,0,4,1,335,7.05933e-09,2.29848,0.195175,0.0436256,1.85489,0.0818829,0.118962,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.006861134328358209,0.005536985074626866,0.0002444265671641791
strong,512,262144,2,131072,AS1,1,4,1,310,8.5658e-09,2.44237,0.243534,0.0303733,1.98038,0.0303866,0.112875,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.007878612903225807,0.006388322580645161,9.802129032258065e-05
strong,512,262144,2,131072,AS2,2,4,1,322,7.74869e-09,2.67468,0.290035,0.0691808,2.12809,0.0545476,0.103371,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.008306459627329192,0.006608975155279502,0.0001694024844720497
strong,512,262144,2,131072,BJ,0,4,2,335,7.05933e-09,2.26641,0.177725,0.0327451,1.83567,0.0786424,0.110616,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.006765402985074627,0.005479611940298507,0.0002347534328358209
strong,512,262144,2,131072,AS1,1,4,2,310,8.5658e-09,2.46528,0.255491,0.0306994,1.97987,0.0320202,0.113142,212467,results/phase5/raw/timing_strong_p2_212467.csv,0.007952516129032259,0.0063866774193548385,0.00010329096774193548
