scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,std_iterations,min_iterations,max_iterations,mean_relative_residual,std_relative_residual,max_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,mean_time_per_iteration,std_time_per_iteration,mean_spmv_time,std_spmv_time,mean_halo_time,std_halo_time,mean_preconditioner_time,std_preconditioner_time,mean_reduction_time,std_reduction_time,mean_vector_time,std_vector_time,mean_preconditioner_time_per_iteration,mean_reduction_time_per_iteration,cv_total_time
strong,512,262144,1,262144,BJ,0,4,5,201.0,0.0,201,201,9.4415e-09,0.0,9.4415e-09,2.969468,0.5310452344725447,2.48674,3.69958,0.01477347263681592,0.0026420160919032073,0.2104976,0.03769254295799104,0.000269204,1.6080138842684164e-05,2.4532540000000003,0.44570984793248625,0.0002474024,1.8215262134814317e-05,0.1532728,0.02633897758380154,0.012205243781094527,1.230857711442786e-06,0.17883514301974116
strong,512,262144,1,262144,AS1,1,4,5,201.0,0.0,201,201,9.4415e-09,0.0,9.4415e-09,3.0694000000000004,0.12874483974124948,2.86886,3.21824,0.015270646766169155,0.0006405215907524848,0.304607,0.01989924906120831,0.000323501,2.1456031441065716e-05,2.486206,0.11096113456521606,0.0003021536,3.6718381165841176e-05,0.1380414,0.009078239313875794,0.01236918407960199,1.5032517412935323e-06,0.04194462753021746
strong,512,262144,1,262144,AS2,2,4,5,201.0,0.0,201,201,9.4415e-09,0.0,9.4415e-09,3.4166799999999995,0.49175055550553265,2.93795,4.35326,0.016998407960199004,0.00244652017664444,0.3451184,0.05513720314488214,0.0003506198,1.2517882654826264e-05,2.764028,0.3950300909753584,0.0003186426,2.138677085115937e-05,0.1499354,0.02797282252901912,0.013751383084577115,1.585286567164179e-06,0.14392643019116005
strong,512,262144,2,131072,BJ,0,4,5,335.0,0.0,335,335,7.059330000000001e-09,8.271806125530277e-25,7.05933e-09,2.2805779999999998,0.011369083340357761,2.26641,2.29848,0.006807695522388059,3.3937562210023094e-05,0.19133499999999998,0.007579859734849977,0.042108400000000004,0.008568222132274582,1.840294,0.007496702208304644,0.06956572,0.016266061272649873,0.1131496,0.004359587072189291,0.005493414925373134,0.00020765886567164182,0.00498517627564493
strong,512,262144,2,131072,AS1,1,4,5,310.0,0.0,310,310,8.5658e-09,0.0,8.5658e-09,2.4771840000000003,0.044727589964137365,2.42824,2.55398,0.007990916129032258,0.00014428254827141064,0.2542414,0.014916045650238545,0.03912254,0.013628384115015248,1.9948039999999998,0.019324636710686197,0.036091899999999996,0.012038701201043243,0.11068346,0.005537914691145036,0.006434851612903225,0.00011642548387096775,0.01805582062702543
strong,512,262144,2,131072,AS2,2,4,5,322.0,0.0,322,322,7.74869e-09,0.0,7.74869e-09,2.61156,0.03573975937244126,2.56884,2.67468,0.008110434782608695,0.00011099304152932085,0.2684726,0.013174127623489906,0.0438992,0.01612922088620526,2.10322,0.016311944090144394,0.03877272,0.009408512472309317,0.114756,0.0064737189311863085,0.006531739130434783,0.00012041217391304348,0.013685214726998907
strong,512,262144,4,65536,BJ,0,4,5,299.0,0.0,299,299,9.16747e-09,0.0,9.16747e-09,0.7144162000000001,0.0006225571138457989,0.713299,0.715153,0.002389351839464883,2.082130815537821e-06,0.046276,0.0015875259355361741,0.0014739240000000002,0.0008156467671142945,0.5971986,0.000655373969577657,0.00397587,0.00034115244000299937,0.03065886,0.0008460112282942824,0.0019973197324414716,1.329722408026756e-05,0.0008714207682381767
strong,512,262144,4,65536,AS1,1,4,5,288.0,0.0,288,288,8.47553e-09,0.0,8.47553e-09,0.8070798,0.000813123705225689,0.806405,0.808537,0.0028023604166666667,2.8233461987003508e-06,0.07179408000000001,0.0005208035230295595,0.0018333680000000002,0.0009015502553579584,0.6657442,0.00018436203513741344,0.00430444,0.0010913320758962415,0.02966482,0.0011220384759891256,0.0023116118055555557,1.4945972222222222e-05,0.0010074886092127308
strong,512,262144,4,65536,AS2,2,4,5,292.0,0.0,292,292,8.75927e-09,0.0,8.75927e-09,0.82897,0.0010095478195707066,0.827149,0.829965,0.002838938356164383,3.4573555464749153e-06,0.07160891999999999,0.0019294546290597272,0.002792294,0.002155240777654321,0.6863516000000001,0.0008797048595978322,0.0058865359999999995,0.00119564408221845,0.0292491,0.0010687528750838525,0.0023505191780821915,2.01593698630137e-05,0.0012178339621104583
strong,512,262144,8,32768,BJ,0,4,5,289.0,0.0,289,289,9.81919e-09,0.0,9.81919e-09,0.3487482,0.0006395305778459616,0.347748,0.349595,0.0012067411764705882,2.2129085738614563e-06,0.02239204,0.0004325154267768959,0.001348164,0.0003835273481565558,0.28901699999999997,0.00021921313829240807,0.005794472,0.0006996224187774428,0.0140898,0.000364177000921255,0.0010000588235294116,2.005007612456747e-05,0.001833788899400661
