scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
weak,2048,4194304,64,65536,BJ,0,4,1,1147,8.75946e-09,15.2741,0.995892,0.692211,3.47417,11.5535,0.194749,212463
weak,2048,4194304,64,65536,AS1,1,4,1,1083,9.25241e-09,19.0982,1.01498,0.637023,5.36554,14.4022,0.181127,212463
weak,2048,4194304,64,65536,AS2,2,4,1,1103,9.39658e-09,14.8815,0.870986,0.51229,5.31887,9.78503,0.194811,212463
weak,2048,4194304,64,65536,BJ,0,4,2,1147,8.75946e-09,12.623,0.848987,0.581581,3.31633,8.79599,0.184264,212463
weak,2048,4194304,64,65536,AS1,1,4,2,1083,9.25241e-09,16.4936,0.944654,0.585185,5.0501,11.7883,0.188264,212463
weak,2048,4194304,64,65536,AS2,2,4,2,1103,9.39658e-09,15.438,0.966819,0.607043,5.30282,10.5557,0.197652,212463
weak,2048,4194304,64,65536,BJ,0,4,3,1147,8.75946e-09,13.7792,0.808848,0.535435,3.47553,9.96346,0.177106,212463
weak,2048,4194304,64,65536,AS1,1,4,3,1083,9.25241e-09,17.3128,0.998463,0.633007,5.03133,12.6192,0.216,212463
weak,2048,4194304,64,65536,AS2,2,4,3,1103,9.39658e-09,14.3137,0.766777,0.372972,4.87273,9.26401,0.198419,212463
weak,2048,4194304,64,65536,BJ,0,4,4,1147,8.75946e-09,14.1895,0.906262,0.644083,3.44606,10.6162,0.190366,212463
weak,2048,4194304,64,65536,AS1,1,4,4,1083,9.25241e-09,14.106,0.829437,0.461823,4.82051,9.45848,0.17639,212463
weak,2048,4194304,64,65536,AS2,2,4,4,1103,9.39658e-09,18.7321,1.00939,0.648482,5.50906,13.6726,0.196358,212463
weak,2048,4194304,64,65536,BJ,0,4,5,1147,8.75946e-09,13.7725,1.09594,0.812319,3.39973,9.94519,0.200713,212463
weak,2048,4194304,64,65536,AS1,1,4,5,1083,9.25241e-09,15.4253,0.896716,0.534556,5.15832,10.8391,0.193122,212463
weak,2048,4194304,64,65536,AS2,2,4,5,1103,9.39658e-09,19.665,1.02449,0.63753,5.67091,14.6166,0.194543,212463
