scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
weak,724,524176,8,65884,BJ,0,4,1,462,7.77661e-09,1.11129,0.0696757,0.00200235,0.934292,0.00510709,0.0460015,218977
weak,724,524176,8,65884,AS1,1,4,1,454,9.39962e-09,1.29145,0.111557,0.00719841,1.0761,0.00632649,0.0424066,218977
weak,724,524176,8,65884,AS2,2,4,1,449,8.97536e-09,1.30376,0.108163,0.00180343,1.08706,0.0082843,0.0449059,218977
weak,724,524176,8,65884,BJ,0,4,2,462,7.77661e-09,1.11335,0.0724856,0.00572804,0.92202,0.020848,0.0428916,218977
weak,724,524176,8,65884,AS1,1,4,2,454,9.39962e-09,1.29233,0.10845,0.00317203,1.06813,0.0156106,0.0446776,218977
weak,724,524176,8,65884,AS2,2,4,2,449,8.97536e-09,1.30233,0.107419,0.0018682,1.0856,0.00931269,0.0447529,218977
weak,724,524176,8,65884,BJ,0,4,3,462,7.77661e-09,1.11481,0.0691738,0.00176689,0.934832,0.00827306,0.0466838,218977
weak,724,524176,8,65884,AS1,1,4,3,454,9.39962e-09,1.29265,0.109286,0.0057192,1.06224,0.0249989,0.0419644,218977
weak,724,524176,8,65884,AS2,2,4,3,449,8.97536e-09,1.30072,0.105461,0.00275103,1.06817,0.031537,0.0417983,218977
weak,724,524176,8,65884,BJ,0,4,4,462,7.77661e-09,1.12148,0.0707018,0.0034537,0.932073,0.0200087,0.0430204,218977
weak,724,524176,8,65884,AS1,1,4,4,454,9.39962e-09,1.2954,0.110005,0.00193527,1.07866,0.00539267,0.0453966,218977
weak,724,524176,8,65884,AS2,2,4,4,449,8.97536e-09,1.3013,0.107236,0.00189191,1.0845,0.0092461,0.0447085,218977
weak,724,524176,8,65884,BJ,0,4,5,462,7.77661e-09,1.11259,0.072397,0.00408193,0.932393,0.00802509,0.043564,218977
weak,724,524176,8,65884,AS1,1,4,5,454,9.39962e-09,1.29444,0.108367,0.00325709,1.06919,0.0164793,0.0449309,218977
weak,724,524176,8,65884,AS2,2,4,5,449,8.97536e-09,1.30085,0.104985,0.00332894,1.06476,0.0355442,0.0416984,218977
weak,724,524176,8,65884,BJ,0,4,6,462,7.77661e-09,1.11177,0.06911,0.00195231,0.935039,0.00512722,0.046437,218977
weak,724,524176,8,65884,AS1,1,4,6,454,9.39962e-09,1.29321,0.109474,0.00189,1.07614,0.0061797,0.0451615,218977
weak,724,524176,8,65884,AS2,2,4,6,449,8.97536e-09,1.29963,0.107008,0.0019226,1.08354,0.00917211,0.044654,218977
weak,724,524176,8,65884,BJ,0,4,7,462,7.77661e-09,1.11285,0.0691756,0.00201741,0.934893,0.00637776,0.0464085,218977
weak,724,524176,8,65884,AS1,1,4,7,454,9.39962e-09,1.29514,0.106877,0.00281236,1.05416,0.0371937,0.042399,218977
weak,724,524176,8,65884,AS2,2,4,7,449,8.97536e-09,1.30141,0.105589,0.00393107,1.06684,0.0336211,0.0416164,218977
weak,724,524176,8,65884,BJ,0,4,8,462,7.77661e-09,1.11282,0.0720665,0.00428725,0.92157,0.0201617,0.0433416,218977
weak,724,524176,8,65884,AS1,1,4,8,454,9.39962e-09,1.29275,0.109605,0.00187044,1.07629,0.00561737,0.045312,218977
weak,724,524176,8,65884,AS2,2,4,8,449,8.97536e-09,1.30464,0.107814,0.0018177,1.08828,0.00872334,0.0447254,218977
weak,724,524176,8,65884,BJ,0,4,9,462,7.77661e-09,1.11154,0.069305,0.00190337,0.934905,0.00491161,0.0465657,218977
weak,724,524176,8,65884,AS1,1,4,9,454,9.39962e-09,1.29218,0.108188,0.0037472,1.07765,0.00941933,0.0421181,218977
weak,724,524176,8,65884,AS2,2,4,9,449,8.97536e-09,1.30184,0.10599,0.00257465,1.07008,0.0303381,0.0416443,218977
weak,724,524176,8,65884,BJ,0,4,10,462,7.77661e-09,1.11611,0.0695175,0.0018853,0.935037,0.00872976,0.0464802,218977
weak,724,524176,8,65884,AS1,1,4,10,454,9.39962e-09,1.29607,0.112227,0.00759357,1.07892,0.0073673,0.0424433,218977
weak,724,524176,8,65884,AS2,2,4,10,449,8.97536e-09,1.3059,0.107601,0.0020401,1.08593,0.0122156,0.0448967,218977
