scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
strong,512,262144,4,65536,BJ,0,4,1,299,9.16747e-09,0.714872,0.0477316,0.00291454,0.595962,0.00642104,0.0286306,218968
strong,512,262144,4,65536,AS1,1,4,1,288,8.47553e-09,0.810729,0.0717276,0.0031592,0.669768,0.0052753,0.0286464,218968
strong,512,262144,4,65536,AS2,2,4,1,292,8.75927e-09,0.828313,0.0712487,0.00112514,0.683925,0.00720026,0.029863,218968
strong,512,262144,4,65536,BJ,0,4,2,299,9.16747e-09,0.713403,0.0448897,0.000970388,0.597427,0.00398058,0.0307922,218968
strong,512,262144,4,65536,AS1,1,4,2,288,8.47553e-09,0.808617,0.0752986,0.00693562,0.66652,0.0038444,0.0278737,218968
strong,512,262144,4,65536,AS2,2,4,2,292,8.75927e-09,0.826891,0.0715085,0.00113998,0.683427,0.00573957,0.0301557,218968
strong,512,262144,4,65536,BJ,0,4,3,299,9.16747e-09,0.714741,0.0467562,0.00213887,0.596063,0.00678933,0.0289862,218968
strong,512,262144,4,65536,AS1,1,4,3,288,8.47553e-09,0.80584,0.0718244,0.00114778,0.66547,0.0023914,0.0304728,218968
strong,512,262144,4,65536,AS2,2,4,3,292,8.75927e-09,0.827676,0.0708489,0.00118682,0.684786,0.00605667,0.029932,218968
strong,512,262144,4,65536,BJ,0,4,4,299,9.16747e-09,0.715024,0.0449759,0.000956331,0.597597,0.00458134,0.0315769,218968
strong,512,262144,4,65536,AS1,1,4,4,288,8.47553e-09,0.80615,0.0717075,0.00109487,0.664091,0.00479281,0.0295795,218968
strong,512,262144,4,65536,AS2,2,4,4,292,8.75927e-09,0.826804,0.0705392,0.00173505,0.687115,0.00256905,0.0303864,218968
strong,512,262144,4,65536,BJ,0,4,5,299,9.16747e-09,0.713876,0.0465094,0.002225,0.597497,0.00260546,0.0308996,218968
strong,512,262144,4,65536,AS1,1,4,5,288,8.47553e-09,0.808244,0.0701881,0.00111804,0.666555,0.00562236,0.0302881,218968
strong,512,262144,4,65536,AS2,2,4,5,292,8.75927e-09,0.828897,0.0723507,0.00110424,0.684672,0.0058837,0.0299556,218968
strong,512,262144,4,65536,BJ,0,4,6,299,9.16747e-09,0.715098,0.0456848,0.00183504,0.597797,0.00426879,0.0310231,218968
strong,512,262144,4,65536,AS1,1,4,6,288,8.47553e-09,0.805781,0.0706647,0.0011264,0.664482,0.00512356,0.0298641,218968
strong,512,262144,4,65536,AS2,2,4,6,292,8.75927e-09,0.826865,0.0711452,0.0011066,0.68421,0.0056437,0.0298316,218968
strong,512,262144,4,65536,BJ,0,4,7,299,9.16747e-09,0.714734,0.0454886,0.00101546,0.597917,0.00318024,0.0318275,218968
strong,512,262144,4,65536,AS1,1,4,7,288,8.47553e-09,0.804434,0.0715099,0.00473297,0.66544,0.00460556,0.0275983,218968
strong,512,262144,4,65536,AS2,2,4,7,292,8.75927e-09,0.827471,0.0721199,0.00112927,0.684768,0.0043057,0.0301949,218968
strong,512,262144,4,65536,BJ,0,4,8,299,9.16747e-09,0.717563,0.0444789,0.000869762,0.597637,0.00729433,0.0319203,218968
strong,512,262144,4,65536,AS1,1,4,8,288,8.47553e-09,0.806342,0.0713635,0.00112898,0.663507,0.00599094,0.0298359,218968
strong,512,262144,4,65536,AS2,2,4,8,292,8.75927e-09,0.826264,0.0702002,0.00183672,0.686187,0.00416573,0.0295868,218968
strong,512,262144,4,65536,BJ,0,4,9,299,9.16747e-09,0.714406,0.0465119,0.00276379,0.596264,0.00637365,0.0290803,218968
strong,512,262144,4,65536,AS1,1,4,9,288,8.47553e-09,0.804456,0.0703756,0.00112493,0.665361,0.00277289,0.0302353,218968
strong,512,262144,4,65536,AS2,2,4,9,292,8.75927e-09,0.826762,0.0721329,0.00368105,0.685477,0.00599101,0.0277047,218968
strong,512,262144,4,65536,BJ,0,4,10,299,9.16747e-09,0.714448,0.0446941,0.000952897,0.597719,0.00378683,0.0319477,218968
strong,512,262144,4,65536,AS1,1,4,10,288,8.47553e-09,0.806347,0.0718901,0.00495235,0.66669,0.00415474,0.0285054,218968
strong,512,262144,4,65536,AS2,2,4,10,292,8.75927e-09,0.828379,0.0715324,0.00119689,0.685116,0.00552229,0.030169,218968
strong,1024,1048576,4,262144,BJ,0,4,1,577,9.65072e-09,5.59115,0.375314,0.00435922,4.64339,0.0137917,0.27234,218968
strong,1024,1048576,4,262144,AS1,1,4,1,553,9.99784e-09,6.34889,0.603324,0.00543701,5.17248,0.0360871,0.258864,218968
strong,1024,1048576,4,262144,AS2,2,4,1,578,9.9035e-09,6.67677,0.634352,0.00502712,5.45861,0.0224737,0.270499,218968
strong,1024,1048576,4,262144,BJ,0,4,2,577,9.65072e-09,5.58692,0.380435,0.0146031,4.64331,0.0259289,0.260545,218968
strong,1024,1048576,4,262144,AS1,1,4,2,553,9.99784e-09,6.34698,0.602951,0.00663108,5.17185,0.0310255,0.262664,218968
strong,1024,1048576,4,262144,AS2,2,4,2,578,9.9035e-09,6.66169,0.631501,0.00504021,5.45171,0.0151141,0.272555,218968
strong,1024,1048576,4,262144,BJ,0,4,3,577,9.65072e-09,5.60318,0.385179,0.00704415,4.64034,0.0202461,0.273599,218968
strong,1024,1048576,4,262144,AS1,1,4,3,553,9.99784e-09,6.36088,0.617483,0.00395094,5.19272,0.00968332,0.260818,218968
strong,1024,1048576,4,262144,AS2,2,4,3,578,9.9035e-09,6.66941,0.632594,0.0027404,5.45664,0.00451413,0.281992,218968
strong,1024,1048576,4,262144,BJ,0,4,4,577,9.65072e-09,5.58829,0.377946,0.0132231,4.64045,0.0338009,0.259075,218968
strong,1024,1048576,4,262144,AS1,1,4,4,553,9.99784e-09,6.34956,0.615509,0.00268006,5.18787,0.00565712,0.259837,218968
strong,1024,1048576,4,262144,AS2,2,4,4,578,9.9035e-09,6.66987,0.632952,0.00579444,5.40904,0.0631384,0.274946,218968
strong,1024,1048576,4,262144,BJ,0,4,5,577,9.65072e-09,5.58888,0.379851,0.00291577,4.64523,0.0038568,0.273596,218968
strong,1024,1048576,4,262144,AS1,1,4,5,553,9.99784e-09,6.34895,0.603817,0.0167259,5.16155,0.0721109,0.243801,218968
strong,1024,1048576,4,262144,AS2,2,4,5,578,9.9035e-09,6.6869,0.641864,0.00349192,5.4641,0.00868438,0.279162,218968
strong,1024,1048576,4,262144,BJ,0,4,6,577,9.65072e-09,5.59607,0.382226,0.00528844,4.64445,0.00719988,0.276228,218968
strong,1024,1048576,4,262144,AS1,1,4,6,553,9.99784e-09,6.35413,0.611953,0.00260295,5.19087,0.00494495,0.265924,218968
strong,1024,1048576,4,262144,AS2,2,4,6,578,9.9035e-09,6.67363,0.629556,0.0143388,5.44132,0.0657853,0.25649,218968
strong,1024,1048576,4,262144,BJ,0,4,7,577,9.65072e-09,5.58504,0.388587,0.0176063,4.64102,0.0253484,0.254353,218968
strong,1024,1048576,4,262144,AS1,1,4,7,553,9.99784e-09,6.34754,0.610364,0.0123932,5.18335,0.0375859,0.247834,218968
strong,1024,1048576,4,262144,AS2,2,4,7,578,9.9035e-09,6.66947,0.644245,0.031496,5.45912,0.0232357,0.264571,218968
strong,1024,1048576,4,262144,BJ,0,4,8,577,9.65072e-09,5.59119,0.377153,0.00284856,4.64666,0.00550861,0.276169,218968
strong,1024,1048576,4,262144,AS1,1,4,8,553,9.99784e-09,6.34299,0.609622,0.00357417,5.18286,0.00893242,0.261811,218968
strong,1024,1048576,4,262144,AS2,2,4,8,578,9.9035e-09,6.67483,0.632845,0.00330735,5.4556,0.00901269,0.284664,218968
strong,1024,1048576,4,262144,BJ,0,4,9,577,9.65072e-09,5.58432,0.374705,0.00518505,4.64314,0.012376,0.270283,218968
strong,1024,1048576,4,262144,AS1,1,4,9,553,9.99784e-09,6.34596,0.616829,0.00304423,5.12506,0.0623964,0.261459,218968
strong,1024,1048576,4,262144,AS2,2,4,9,578,9.9035e-09,6.68403,0.639157,0.00270311,5.46168,0.0050528,0.284874,218968
strong,1024,1048576,4,262144,BJ,0,4,10,577,9.65072e-09,5.58475,0.38113,0.00260084,4.64414,0.00576513,0.268202,218968
strong,1024,1048576,4,262144,AS1,1,4,10,553,9.99784e-09,6.34577,0.616614,0.0314178,5.18724,0.0306262,0.244409,218968
strong,1024,1048576,4,262144,AS2,2,4,10,578,9.9035e-09,6.67612,0.636444,0.0173816,5.4487,0.0553705,0.255312,218968
strong,2048,4194304,4,1048576,BJ,0,4,1,1146,9.85032e-09,48.8989,5.11382,0.450485,37.7038,0.742674,2.90358,218968
strong,2048,4194304,4,1048576,AS1,1,4,1,1069,8.42689e-09,53.8523,4.90233,0.0457569,41.9968,0.132642,3.53111,218968
strong,2048,4194304,4,1048576,AS2,2,4,1,1115,9.20774e-09,56.4239,5.08408,0.0165526,44.0971,0.225666,3.62073,218968
strong,2048,4194304,4,1048576,BJ,0,4,2,1146,9.85032e-09,48.6794,5.09078,0.329939,37.7357,0.595376,2.822,218968
strong,2048,4194304,4,1048576,AS1,1,4,2,1069,8.42689e-09,53.9578,4.98708,0.0144392,42.11,0.0709506,3.54462,218968
strong,2048,4194304,4,1048576,AS2,2,4,2,1115,9.20774e-09,56.7672,5.34719,0.0113996,44.1432,0.159163,3.66868,218968
strong,2048,4194304,4,1048576,BJ,0,4,3,1146,9.85032e-09,48.9103,4.72503,0.0899219,37.7542,1.07667,2.87612,218968
strong,2048,4194304,4,1048576,AS1,1,4,3,1069,8.42689e-09,54.0042,4.96921,0.0317889,42.2103,0.0877297,3.43711,218968
strong,2048,4194304,4,1048576,AS2,2,4,3,1115,9.20774e-09,56.255,5.13034,0.0413545,43.8449,0.746483,3.42473,218968
strong,2048,4194304,4,1048576,BJ,0,4,4,1146,9.85032e-09,48.5912,4.8497,0.0288696,37.7553,0.342741,3.0311,218968
