scaling,grid_size,processes,method,runs,iterations,max_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,cv_pct,repeat_check,residual_check,iteration_limit_check,iteration_consistency_check,timing_nonnegative_check,halo_check,phase_check,quality_check,cv_status,job_ids
strong,1024,8,AS1,5,538,9.82574e-09,3.170206,0.0034209624376774,3.16527,3.17579,0.107909783707351,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216361
strong,1024,8,AS2,5,572,9.5219e-09,3.40875,0.0031830614194514,3.40415,3.41311,0.0933791395511968,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216361
strong,1024,8,BJ,5,579,8.96287e-09,2.8107960000000003,0.0022955313110475,2.80831,2.81472,0.0816683712033004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216361
strong,1024,16,AS1,5,556,9.88594e-09,2.580398,0.14055470599023,2.30248,2.68644,5.447016545131024,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212470
strong,1024,16,AS2,5,551,9.87306e-09,2.594684,0.1198577234223978,2.36857,2.724,4.619357248219737,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212470
strong,1024,16,BJ,5,571,9.18973e-09,2.219878,0.1903317606076296,1.94823,2.53846,8.573973912423549,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212470
strong,1024,32,AS1,5,562,8.79959e-09,0.8067808,0.0024015070601603,0.80336,0.809754,0.2976653708368322,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216362
strong,1024,32,AS2,5,571,9.77984e-09,0.865681,0.0129778704724619,0.85709,0.891423,1.4991515896111771,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216362
strong,1024,32,BJ,5,596,8.20908e-09,0.766943,0.0020002292868568,0.764428,0.770039,0.2608054688362607,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216362
strong,1024,64,AS1,5,567,8.98817e-09,0.6074724,0.0046066200451089,0.59958,0.613916,0.7583258177834904,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213717
strong,1024,64,AS2,5,566,8.47533e-09,0.7012617999999999,0.0587548333753062,0.656032,0.815281,8.378444879687768,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213717
strong,1024,64,BJ,5,636,9.97962e-09,0.5836990000000001,0.0049270377307262,0.579018,0.593246,0.8441059057367338,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213717
strong,2048,1,AS1,5,764,9.63899e-09,239.8098,2.674324168832192,235.965,243.408,1.115185521539233,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212466
strong,2048,1,AS2,5,764,9.63899e-09,240.7812,2.5709281125694647,236.855,243.837,1.0677445384313495,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212466
strong,2048,1,BJ,5,764,9.63899e-09,208.3386,2.330938832316283,205.184,212.107,1.1188223556826644,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,212466
strong,2048,2,AS1,5,1150,9.92848e-09,142.565,1.662226939981417,140.772,145.402,1.1659432118552358,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213718
strong,2048,2,AS2,5,1112,9.81766e-09,138.798,3.4397541191195597,136.279,145.599,2.478244729116817,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213718
strong,2048,2,BJ,5,1215,9.36541e-09,130.695,0.9411745852922306,129.069,131.951,0.7201305216666518,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213718
strong,2048,4,AS1,5,1069,8.42689e-09,54.04456,0.1119290239392807,53.8709,54.1694,0.2071050702222032,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216363
strong,2048,4,AS2,5,1115,9.20774e-09,56.61994,0.0856479678684795,56.4993,56.7545,0.1512682066926943,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216363
strong,2048,4,BJ,5,1146,9.85032e-09,48.74448,0.0405873083611136,48.666,48.7751,0.0832654453614308,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216363
strong,2048,8,AS1,5,1066,9.93073e-09,28.0143,0.0192685235552703,27.9893,28.0468,0.0687810281008995,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216364
strong,2048,8,AS2,5,1106,9.51073e-09,29.23606,0.0282857985568737,29.208,29.2862,0.0967496938947099,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216364
strong,2048,8,BJ,5,1110,8.89002e-09,23.69616,0.055120290274997,23.5895,23.7453,0.2326127536064792,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216364
strong,2048,16,AS1,5,1066,9.85554e-09,14.88962,0.0311628881845054,14.8559,14.9483,0.2092927031348381,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216365
