scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id,source_type,source_file
strong,512,262144,4,65536,AS2,2,4,1,292,8.75927e-09,0.829684,0.0715748,0.00108057,0.684962,0.00658235,0.0304843,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,AS2,2,4,2,292,8.75927e-09,0.829965,0.0753232,0.00690228,0.687104,0.00417156,0.0278683,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,AS2,2,4,3,292,8.75927e-09,0.828656,0.0708233,0.001946,0.687466,0.00472607,0.029635,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,AS2,2,4,4,292,8.75927e-09,0.829396,0.070089,0.00115526,0.686022,0.00696129,0.0301539,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,AS2,2,4,5,292,8.75927e-09,0.827149,0.0702343,0.00287736,0.686204,0.00699141,0.028104,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,BJ,0,4,1,299,9.16747e-09,0.713299,0.0445528,0.00115999,0.597416,0.00403019,0.0310106,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,BJ,0,4,2,299,9.16747e-09,0.715153,0.0492671,0.00310148,0.595952,0.00448673,0.0290022,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,BJ,0,4,3,299,9.16747e-09,0.714694,0.0460865,0.00101619,0.597345,0.00377024,0.0312438,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,BJ,0,4,4,299,9.16747e-09,0.714288,0.0459208,0.00100653,0.59738,0.00347123,0.0312524,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,4,65536,BJ,0,4,5,299,9.16747e-09,0.714647,0.0455528,0.00108543,0.5979,0.00412096,0.0307853,216356,stability_rerun,stability_strong_n512_p4_216356.csv
strong,512,262144,8,32768,AS1,1,4,1,281,9.59095e-09,0.370076,0.0211722,0.000913544,0.309567,0.0084629,0.0138091,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS1,1,4,2,281,9.59095e-09,0.37018,0.0224182,0.00132996,0.310503,0.00702866,0.0132596,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS1,1,4,3,281,9.59095e-09,0.371754,0.0226661,0.00140347,0.308947,0.0102127,0.012941,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS1,1,4,4,281,9.59095e-09,0.372601,0.0222613,0.00121741,0.309171,0.0102362,0.0138549,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS1,1,4,5,281,9.59095e-09,0.373381,0.0253108,0.00474037,0.309223,0.00766575,0.0141089,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS2,2,4,1,281,9.7634e-09,0.381064,0.0231503,0.0016193,0.322514,0.00517296,0.0131277,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS2,2,4,2,281,9.7634e-09,0.380939,0.0224574,0.00173878,0.320649,0.00720692,0.0136273,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS2,2,4,3,281,9.7634e-09,0.382797,0.0234158,0.00292969,0.322786,0.00644686,0.0131059,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS2,2,4,4,281,9.7634e-09,0.380884,0.0224699,0.00205726,0.322618,0.00561791,0.0131377,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,AS2,2,4,5,281,9.7634e-09,0.381243,0.0214332,0.000795205,0.318801,0.0099295,0.0140425,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,BJ,0,4,1,289,9.81919e-09,0.34923,0.0218627,0.00119272,0.289115,0.00670784,0.0140598,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,BJ,0,4,2,289,9.81919e-09,0.347748,0.0223409,0.00134507,0.288994,0.00458795,0.0143749,216357,stability_rerun,stability_strong_n512_p8_216357.csv
strong,512,262144,8,32768,BJ,0,4,3,289,9.81919e-09,0.34844,0.0231798,0.00207721,0.288616,0.00577359,0.0134245,216357,stability_rerun,stability_strong_n512_p8_216357.csv
