grid_size,processes,method,repeat,iterations,relative_residual,total_time,job_id
2048,32,CG,3,3826,9.84837e-09,3.4473,216373
2048,32,CG,4,3826,9.84837e-09,3.40886,216373
2048,32,CG,5,3826,9.84837e-09,3.4441,216373
2048,64,CG,1,3826,9.84837e-09,2.13064,216662
2048,64,CG,2,3826,9.84837e-09,2.02627,216662
2048,64,CG,3,3826,9.84837e-09,2.03577,216662
2048,64,CG,4,3826,9.84837e-09,2.02499,216662
2048,64,CG,5,3826,9.84837e-09,2.04119,216662
2048,128,CG,1,3826,9.84837e-09,1.12283,216663
2048,128,CG,2,3826,9.84837e-09,1.07837,216663
2048,128,CG,3,3826,9.84837e-09,1.1495,216663
2048,128,CG,4,3826,9.84837e-09,1.08039,216663
2048,128,CG,5,3826,9.84837e-09,1.09695,216663
2896,128,CG,1,5429,9.96225e-09,4.10147,216374
2896,128,CG,2,5429,9.96225e-09,2.89271,216374
2896,128,CG,3,5429,9.96225e-09,2.94946,216374
2896,128,CG,4,5429,9.96225e-09,2.96841,216374
2896,128,CG,5,5429,9.96225e-09,2.95112,216374
2896,128,CG,6,5429,9.96225e-09,2.97055,216664
2896,128,CG,7,5429,9.96225e-09,2.92381,216664
