scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,mean_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,mean_spmv_time,mean_halo_time,mean_preconditioner_time,mean_reduction_time,mean_vector_time,job_id
strong,512,262144,4,65536,AS1,1,4,3,288,8.47553e-09,0.817542,0.000943154,0.81655,0.81881,0.0757085,0.00371699,0.674691,0.00809437,0.0301779,213291
strong,512,262144,4,65536,AS2,2,4,3,292,8.75927e-09,0.840035,0.0014457,0.838137,0.841642,0.0763294,0.0034322,0.696015,0.00721239,0.0309083,213291
strong,512,262144,4,65536,BJ,0,4,3,299,9.16747e-09,0.719538,0.00220229,0.717919,0.722652,0.0546357,0.00260972,0.596826,0.00687644,0.0311398,213291
strong,1024,1048576,4,262144,AS1,1,4,3,553,9.99784e-09,6.81712,0.0146798,6.79655,6.82985,0.703365,0.0383251,5.50399,0.105551,0.329365,213291
strong,1024,1048576,4,262144,AS2,2,4,3,578,9.9035e-09,7.18628,0.0180831,7.16159,7.20439,0.733999,0.0377964,5.81005,0.0982451,0.344021,213291
strong,1024,1048576,4,262144,BJ,0,4,3,577,9.65072e-09,5.63979,0.00191908,5.63761,5.64228,0.409184,0.0144723,4.65255,0.040953,0.289508,213291
