scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,mean_relative_residual,mean_runtime,std_runtime,min_runtime,max_runtime,job_id
strong,1024,1048576,64,16384,AS1,1,4,5,567,8.98817e-09,0.636936,0.0152789,0.617359,0.66057,211488
strong,1024,1048576,64,16384,AS2,2,4,5,566,8.47533e-09,0.68917,0.0129016,0.666333,0.703792,211488
strong,1024,1048576,64,16384,BJ,0,4,5,636,9.97962e-09,0.635419,0.0100548,0.615947,0.643911,211488
strong,2048,4194304,64,65536,AS1,1,4,5,1083,9.25241e-09,5.78574,0.068956,5.69052,5.9038,211488
strong,2048,4194304,64,65536,AS2,2,4,5,1103,9.39658e-09,6.22496,0.0595694,6.17988,6.33474,211488
strong,2048,4194304,64,65536,BJ,0,4,5,1147,8.75946e-09,4.36353,0.0545244,4.28653,4.42153,211488
