grid_size,unknowns,processes,owned_rows,method,overlap,relative_overlap_pct,sgs_sweeps,repeat,iterations,relative_residual,total_time,spmv_time,halo_time,preconditioner_time,reduction_time,vector_time,job_id
512,262144,8,64,AS,6,9.375000,4,6,309,9.40555e-09,0.470176,0.028859,0.00157766,0.398518,0.00828671,0.0158873,219194
512,262144,8,64,AS,12,18.750000,4,6,300,9.05393e-09,0.519848,0.0265826,0.00149618,0.454056,0.00534716,0.0155515,219194
512,262144,8,64,AS,19,29.687500,4,6,307,9.76344e-09,0.609762,0.0269817,0.000866301,0.530424,0.0178099,0.0159254,219194
512,262144,8,64,AS,32,50.000000,4,6,300,8.62576e-09,0.818939,0.045594,0.00991641,0.72889,0.0105977,0.0155374,219194
512,262144,8,64,BJ,0,0.000000,4,7,289,9.81919e-09,0.353129,0.0260675,0.00125692,0.288662,0.00514303,0.015827,219194
512,262144,8,64,AS,1,1.562500,4,7,281,9.59095e-09,0.381347,0.0247023,0.00132043,0.31365,0.0114495,0.0145375,219194
512,262144,8,64,AS,2,3.125000,4,7,281,9.7634e-09,0.388839,0.0249157,0.00144508,0.327245,0.00529865,0.0144297,219194
512,262144,8,64,AS,6,9.375000,4,7,309,9.40555e-09,0.472033,0.0272409,0.00128271,0.399669,0.0100738,0.0163979,219194
512,262144,8,64,AS,12,18.750000,4,7,300,9.05393e-09,0.519127,0.026297,0.00133832,0.449949,0.00956871,0.0151125,219194
512,262144,8,64,AS,19,29.687500,4,7,307,9.76344e-09,0.609901,0.0272589,0.000954137,0.529815,0.0180908,0.0161197,219194
512,262144,8,64,AS,32,50.000000,4,7,300,8.62576e-09,0.811363,0.0339409,0.00920328,0.699121,0.0437731,0.0162305,219194
512,262144,8,64,BJ,0,0.000000,4,8,289,9.81919e-09,0.353223,0.0259988,0.00128542,0.288572,0.00598852,0.0152682,219194
512,262144,8,64,AS,1,1.562500,4,8,281,9.59095e-09,0.37931,0.0249376,0.00111044,0.314745,0.0083598,0.0142018,219194
512,262144,8,64,AS,2,3.125000,4,8,281,9.7634e-09,0.391949,0.024466,0.0011691,0.3263,0.0101246,0.0141349,219194
512,262144,8,64,AS,6,9.375000,4,8,309,9.40555e-09,0.470612,0.0283756,0.00141634,0.400894,0.00665605,0.0159719,219194
512,262144,8,64,AS,12,18.750000,4,8,300,9.05393e-09,0.521383,0.025953,0.00117072,0.447799,0.013788,0.0156757,219194
512,262144,8,64,AS,19,29.687500,4,8,307,9.76344e-09,0.610505,0.0277718,0.0012572,0.530631,0.0174319,0.0160547,219194
512,262144,8,64,AS,32,50.000000,4,8,300,8.62576e-09,0.810806,0.0359057,0.0019557,0.728141,0.0128121,0.0154324,219194
512,262144,8,64,BJ,0,0.000000,4,9,289,9.81919e-09,0.351406,0.0252325,0.00132904,0.288697,0.0048934,0.0151614,219194
512,262144,8,64,AS,1,1.562500,4,9,281,9.59095e-09,0.379385,0.0251488,0.00182107,0.316835,0.00576404,0.0143839,219194
512,262144,8,64,AS,2,3.125000,4,9,281,9.7634e-09,0.390521,0.0241842,0.000839148,0.323218,0.0116852,0.0144298,219194
512,262144,8,64,AS,6,9.375000,4,9,309,9.40555e-09,0.470035,0.027837,0.00182914,0.403294,0.00466811,0.0156041,219194
512,262144,8,64,AS,12,18.750000,4,9,300,9.05393e-09,0.519893,0.0278563,0.00155326,0.453962,0.00439901,0.0154871,219194
512,262144,8,64,AS,19,29.687500,4,9,307,9.76344e-09,0.609386,0.0273254,0.00176464,0.541686,0.00471385,0.0167106,219194
512,262144,8,64,AS,32,50.000000,4,9,300,8.62576e-09,0.810785,0.0354858,0.00173829,0.729635,0.0116004,0.0155885,219194
512,262144,8,64,BJ,0,0.000000,4,10,289,9.81919e-09,0.353141,0.0251978,0.00129321,0.288712,0.00688071,0.0149435,219194
512,262144,8,64,AS,1,1.562500,4,10,281,9.59095e-09,0.381686,0.0271048,0.00170119,0.318362,0.00441448,0.0146579,219194
512,262144,8,64,AS,2,3.125000,4,10,281,9.7634e-09,0.389242,0.0249612,0.000923187,0.323239,0.00922081,0.0148278,219194
512,262144,8,64,AS,6,9.375000,4,10,309,9.40555e-09,0.472536,0.0266726,0.00094847,0.398508,0.012354,0.0163389,219194
512,262144,8,64,AS,12,18.750000,4,10,300,9.05393e-09,0.520222,0.0284432,0.00317771,0.453784,0.00458272,0.0152101,219194
512,262144,8,64,AS,19,29.687500,4,10,307,9.76344e-09,0.610053,0.02702,0.00131172,0.529997,0.0180221,0.0163789,219194
512,262144,8,64,AS,32,50.000000,4,10,300,8.62576e-09,0.812739,0.0352876,0.00185524,0.73084,0.0126341,0.01568,219194
